name,addr,city,phone,type,cluster_label,is_outlier
tommy's,2575 beverly blvd.,la,213-389-9060,hamburgers,-1,True
alamo,304 e. 48th st.,new york,212/ 759-0590,mexican,-1,True
clearwater cafe,168 w. colorado blvd.,los angeles,818/356-0959,health food,-1,True
arnie morton's of chicago,435 s. la cienega blv.,los angeles,310/246-1501,american,-1,True
sally's cafe & bakery,300 de haro st.,san francisco,415-626-6006,american,-1,True
parioli romanissimo,24 e. 81st st.,new york,212/288-2391,italian,-1,True
stick to your ribs,5-16 51st ave.,queens,718-937-3030,bbq,-1,True
lattanzi ristorante,361 w. 46th st.,new york,212/315-0980,italian,-1,True
brent's deli,19565 parthenia ave.,northridge,818-886-5679,delis,-1,True
tavern on the green,in central park at 67th st.,new york,212/873-3200,american,-1,True
the mandarin,430 n. camden dr.,los angeles,310/859-0926,asian,-1,True
jiraffe,502 santa monica blvd,santa monica,310-917-6671,californian,-1,True
second avenue deli,156 2nd ave. at 10th st.,new york,212/677-0606,delicatessen,-1,True
border grill,4th st.,los angeles,310/451-1655,mexican,-1,True
le soleil,133 clement st.,san francisco,415/668-4848,asian,-1,True
cypress club,500 jackson st.,san francisco,415/296-8555,american,-1,True
west,63rd street steakhouse 44 w. 63rd st.,new york,212/246-6363,american,-1,True
schatzi on main,3110 main st.,los angeles,310/399-4800,continental,-1,True
caffe dante,81 macdougal st.  between houston and bleeker sts.,new york,212/982-5275,coffee bar,-1,True
harris',2100 van ness ave.,san francisco,415/673-1888,steak houses,-1,True
steak house,2880 las vegas blvd. s,las vegas,702/734-0410,steak houses,-1,True
palio d'asti,640 sacramento st.,san francisco,415/395-9800,italian,-1,True
broiler,4111 boulder hwy.,las vegas,702/432-7777,american,-1,True
tre visi,3799 las vegas blvd. s.,las vegas,702-891-7331,italian,-1,True
scala's bistro,432 powell st.,san francisco,415/395-8555,italian,-1,True
global,33 93 2nd ave.  between 5th and 6th sts.,new york,212/477-8427,american,-1,True
posto,14928 ventura blvd.,sherman oaks,818/784-4400,italian,-1,True
macarthur park,607 front st.,san francisco,415/398-5700,american,-1,True
bruno,240 e. 58th st.,new york,212/688-4190,italian,-1,True
motown cafe,104 w. 57th st.  near 6th ave.,new york,212/581-8030,american,-1,True
ct,111 e. 22nd st.  between park ave. s and lexington ave.,new york,212/995-8500,french,-1,True
fat matt's rib shack,1811 piedmont ave.  near cheshire bridge rd.,atlanta,404/607-1622,barbecue,-1,True
21 club,21 w. 52nd st.,new york,212/582-7200,american,-1,True
felix,340 w. broadway at grand st.,new york,212/431-0021,french,-1,True
grand ticino,228 thompson st.  between w. 3rd and bleecker sts.,new york,212/777-5922,italian,-1,True
pamplemousse,400 e. sahara ave.,las vegas,702/733-2066,continental,-1,True
nate 'n' al's,414 n. beverly dr.,los angeles,310/274-0101,american,-1,True
cafe claude,7 claude ln.,san francisco,415-392-3505,french bistro,-1,True
wa-ha-ka oaxaca mexican grill,2141 polk st.,san francisco,415-775-1055,mexican,-1,True
edison cafe,228 w. 47th st.,new york city,212-840-5000,diners,-1,True
picholine,35 w. 64th st.,new york city,212-724-8585,mediterranean,-1,True
carnegie deli,854 seventh ave.,new york city,212-757-2245,delis,-1,True
original pancake house (at),4330 peachtree rd.,atlanta,404-237-4116,american,-1,True
atlanta fish market,265 pharr rd.,atlanta,404/262-3165,american,-1,True
oceana,55 e. 54th st.,new york,212/759-5941,seafood,-1,True
post house,28 e. 63rd st.,new york,212/935-2888,american,-1,True
harry denton's,161 steuart st.,san francisco,415/882-1333,american,-1,True
cafe sunflower,5975 roswell rd.,atlanta,404-256-1675,health food,-1,True
rumpus,1 tillman pl.,san francisco,415/421-2300,american,-1,True
pane e vino,3011 steiner st.,san francisco,415/346-2111,italian,-1,True
ritz-carlton cafe (buckhead),3434 peachtree rd. ne,atlanta,404-237-2700,american (new),-1,True
boonthai,1393a 2nd ave.  between 72nd and 73rd sts.,new york,212/249-8484,asian,-1,True
veniero's pasticceria,342 e. 11th st.  near 1st ave.,new york,212/674-7264,coffee bar,-1,True
carmine's,2450 broadway,new york city,212-362-2200,italian,-1,True
bill's place,2315 clement st.,san francisco,415-221-5262,hamburgers,-1,True
abruzzi,2355 peachtree rd. ne,atlanta,404-261-8186,italian,-1,True
smith & wollensky,201 e. 49th st.,new york,212/753-1530,american,-1,True
parkway grill,510 s. arroyo pkwy.,pasadena,818-795-1001,californian,-1,True
sam's noodle shop,411 third ave.,new york city,212-213-2288,chinese,-1,True
toulouse,293-b peachtree rd.,atlanta,404-351-9533,french (new),-1,True
pho hoa,642 broadway,chinatown,213-626-5530,vietnamese,-1,True
aureole,34 e. 61st st.,new york,212/ 319-1660,american,-1,True
docks,633 3rd ave. at 40th st.,new york,212/ 986-8080,seafood,-1,True
remi,145 w. 53rd st.,new york,212/581-4242,italian,-1,True
phnom penh cambodian restaurant,631 larkin st.,san francisco,415-775-5979,cambodian,-1,True
sylvia's,328 lenox ave.,new york city,212-996-0660,southern/soul,-1,True
caffe reggio,119 macdougal st.  between 3rd and bleecker sts.,new york,212/475-9557,coffee bar,-1,True
fiorello's roman cafe,1900 broadway  between 63rd and 64th sts.,new york,212/595-5330,italian,-1,True
chopstix,4279 roswell rd.,atlanta,404-255-4868,chinese,-1,True
second street grille,200 e. fremont st.,las vegas,702/385-3232,seafood,-1,True
teresa's,103 1st ave.  between 6th and 7th sts.,new york,212/228-0604,east european,-1,True
golden unicorn,18 e. broadway at catherine st.,new york,212/ 941-0911,asian,-1,True
ocean park cafe,3117 ocean park blvd.,santa monica,310-452-5728,american,-1,True
palace court,3570 las vegas blvd. s.,las vegas,702-731-7110,french (new),-1,True
le gamin,50 macdougal st.  between houston and prince sts.,new york,212/254-4678,coffee bar,-1,True
annie's thai castle,3195 roswell rd.,atlanta,404/264-9546,asian,-1,True
ocean avenue,1401 ocean ave.,santa monica,310/394-5669,american,-1,True
caffe lure,169 sullivan st.  between houston and bleecker sts.,new york,212/473-2642,french,-1,True
grill  the,9560 dayton way,beverly hills,310-276-0615,american (traditional),-1,True
mary mac's tea room,224 ponce de leon ave.,atlanta,404/876-1800,southern,-1,True
rainbow restaurant,2118 n. decatur rd.,decatur,404-633-3538,vegetarian,-1,True
cafe botanica,160 central park s,new york,212/484-5120,french,-1,True
l'auberge,1191 1st ave.  between 64th and 65th sts.,new york,212/288-8791,middle eastern,-1,True
havana sandwich shop,2905 buford hwy.,atlanta,404-636-4094,cuban,-1,True
citrus,6703 melrose ave.,los angeles,213/857-0034,californian,-1,True
lola,30 west 22nd st.  between 5th and 6th ave.,new york,212/675-6700,american,-1,True
lucky strike,59 grand st.  between wooster st. and w. broadway,new york,212/941-0479,or 212/941-0772 american,-1,True
bouterin,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french,-1,True
firehouse,522 columbus ave.  between 85th and 86th sts.,new york,212/595-3139,american,-1,True
le chardonnay (los angeles),8284 melrose ave.,los angeles,213-655-8880,french bistro,-1,True
sparks steak house,210 e. 46th st.,new york city,212-687-4855,steakhouses,-1,True
indigo coastal grill,1397 n. highland ave.,atlanta,404-876-0676,eclectic,-1,True
bistro,3400 las vegas blvd. s,las vegas,702/791-7111,continental,-1,True
rex il ristorante,617 s. olive st.,los angeles,213/627-2300,italian,-1,True
nikolai's roof,255 courtland st.,atlanta,404-221-6362,continental,-1,True
ed debevic's,134 n. la cienega,los angeles,310/659-1952,american,-1,True
cucina della fontana,368 bleecker st.,new york city,212-242-0636,italian,-1,True
gaylord's,ghirardelli sq.,san francisco,415/771-8822,asian,-1,True
bruno's,3838 centinela ave.,mar vista,310-397-5703,italian,-1,True
moustache,405 atlantic ave.,brooklyn,718-852-5555,middle eastern,-1,True
brasserie le coze,3393 peachtree rd.  lenox square mall  near neiman marcus,atlanta,404/266-1440,french,-1,True
agrotikon,322 e. 14 st.  between 1st and 2nd aves.,new york,212/473-2602,mediterranean,-1,True
emeril's new orleans fish house,3799 las vegas blvd. s.,las vegas,702-891-7374,seafood,-1,True
granita,23725 w. malibu rd.,malibu,310-456-0488,californian,-1,True
tavern on the green,central park west,new york city,212-873-3200,american (new),-1,True
caffe roma,385 broome st. at mulberry,new york,212/226-8413,coffee bar,-1,True
joss,9255 sunset blvd.,los angeles,310/276-1886,asian,-1,True
zankou chicken,1415 e. colorado st.,glendale,818-244-1937,middle eastern,-1,True
white house restaurant,3172 peachtree rd. ne,atlanta,404-237-7601,diners,-1,True
aqua,252 california st.,san francisco,415/956-9662,seafood,-1,True
san domenico,240 central park s.,new york city,212-265-5959,italian,-1,True
bamboo garden,4850 flamingo rd.,las vegas,702/871-3262,asian,-1,True
dining room  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,international,-1,True
billy's,948 1st ave.  between 52nd and 53rd sts.,new york,212/753-1870,american,-1,True
diaghilev,1020 n. san vicente blvd.,w. hollywood,310-854-1111,russian,-1,True
afghan kebab house,764 ninth ave.,new york city,212-307-1612,afghan,-1,True
suppenkuche,601 hayes st.,san francisco,415/252-9289,russian/german,-1,True
kabuto sushi,5116 geary blvd.,san francisco,415/752-5652,asian,-1,True
chevys,4th and howard sts.,san francisco,415/543-8060,mexican/latin american/spanish,-1,True
luna si,1931 peachtree rd.,atlanta,404/355-5993,continental,-1,True
mario's bohemian cigar store cafe,2209 polk st.,san francisco,415-776-8226,italian,-1,True
yujean kang's,67 n. raymond ave.,pasadena,818-585-0855,chinese,-1,True
stefano's,129 fremont st.,las vegas,702-385-7111,italian,-1,True
buckhead diner,3073 piedmont rd.,atlanta,404-262-3336,american (new),-1,True
la fonda latina,4427 roswell rd.,atlanta,404-303-8201,spanish,-1,True
la grotta,2637 peachtree rd. ne,atlanta,404-231-1368,italian,-1,True
granita,23725 w. malibu rd.,malibu,310/456-0488,californian,-1,True
hsu's gourmet,192 peachtree center ave.  at international blvd.,atlanta,404/659-2788,asian,-1,True
aquavit,13 w. 54th st.,new york,212/307-7311,continental,-1,True
cha cha cha's,1805 haight st.,san francisco,415-386-5758,caribbean,-1,True
hugo's cellar,202 e. fremont st.,las vegas,702-385-4011,continental,-1,True
little szechuan,c buford hwy.  northwoods plaza  doraville,atlanta,770/451-0192,asian,-1,True
katia's,600 5th ave.,san francisco,415/668-9292,,-1,True
two two two,222 w. 79th st.,new york,212/799-0400,american,-1,True
west beach cafe,60 n. venice blvd.,los angeles,310/823-5396,american,-1,True
buca giovanni,800 greenwich st.,san francisco,415/776-7766,italian,-1,True
barney greengrass,9570 wilshire blvd.,beverly hills,310/777-5877,american,-1,True
locanda veneta,3rd st.,los angeles,310/274-1893,italian,-1,True
kokomo cafe,6333 w. third st.,la,213-933-0773,american,-1,True
pen & pencil,205 e. 45th st.,new york,212/682-8660,american,-1,True
fujiyama mama,467 columbus ave.  between 82nd and 83rd sts.,new york,212/769-1144,asian,-1,True
broadway deli,3rd st. promenade,santa monica,310/451-0616,american,-1,True
pinot bistro,12969 ventura blvd.,studio city,818-990-0500,french bistro,-1,True
zab-e-lee,4837 old national hwy.,college park,404-768-2705,thai,-1,True
hi-life restaurant and lounge,1340 1st ave. at 72nd st.,new york,212/249-3600,american,-1,True
tapika,950 8th ave. at 56th st.,new york,212/ 397-3737,american,-1,True
cafe flore,2298 market st.,san francisco,415-621-8579,californian,-1,True
lemongrass grill,61a seventh ave.,brooklyn,718-399-7100,thai,-1,True
killer shrimp,4000 colfax ave.,studio city,818-508-1570,seafood,-1,True
cafe claude,7 claude la.,san francisco,415/392-3505,french,-1,True
marnie's noodle shop,466 hudson st.,new york city,212-741-3214,asian,-1,True
palm too,840 second ave.,new york city,212-697-5198,steakhouses,-1,True
coco loco,40  buckhead crossing mall on the sidney marcus blvd.,atlanta,404/364-0212,caribbean,-1,True
campo santo,240 columbus ave.,san francisco,415-433-9623,mexican,-1,True
andre's french restaurant,401 s. 6th st.,las vegas,702-385-5016,french (classic),-1,True
caffe greco,423 columbus ave.,san francisco,415-397-6261,continental,-1,True
georgia grille,2290 peachtree rd.  peachtree square shopping center,atlanta,404/352-3517,american,-1,True
north india,3131 webster st.,san francisco,415/931-1556,asian,-1,True
bone's,3130 piedmont road,atlanta,404/237-2663,american,-1,True
hyde street bistro,1521 hyde st.,san francisco,415/441-7778,italian,-1,True
moose's,1652 stockton st.,san francisco,415/989-7800,mediterranean,-1,True
cafe '50s,838 lincoln blvd.,venice,310-399-1955,american,-1,True
rainbow room,30 rockefeller plaza,new york city,212-632-5000,american (new),-1,True
beaurivage,26025 pacific coast hwy.,malibu,310/456-5733,french,-1,True
house of chan,2469 cobb pkwy.,smyrna,770-955-9444,chinese,-1,True
park avenue cafe (new york city),100 e. 63rd st.,new york city,212-644-1900,american (new),-1,True
montien,1134 1st ave.   between 62nd and 63rd sts.,new york,212/421-4433,asian,-1,True
milan cafe and coffee bar,120 w. 23rd st.,new york,212/807-1801,coffee bar,-1,True
greens,bldg. a fort mason,san francisco,415/771-6222,vegetarian,-1,True
seryna,11 e. 53rd st.,new york city,212-980-9393,japanese,-1,True
cafe lalo,201 w. 83rd st.,new york city,212-496-6031,coffeehouses,-1,True
bacchanalia,3125 piedmont rd.,atlanta,404-365-0410,californian,-1,True
le perigord,405 e. 52nd st.,new york,212/755-6244,french,-1,True
majestic,1031 ponce de leon ave.,atlanta,404-875-0276,diners,-1,True
khan toke thai house,5937 geary blvd.,san francisco,415-668-6654,thai,-1,True
piero's restaurant,355 convention center dr.,las vegas,702-369-2305,italian,-1,True
duke's,8909 sunset blvd.,w. hollywood,310-652-3100,coffee shops,-1,True
campanile,624 s. la brea ave.,los angeles,213/938-1447,american,-1,True
swan oyster depot,1517 polk st.,san francisco,415-673-1101,seafood,-1,True
pinot bistro,12969 ventura blvd.,los angeles,818/990-0500,french,-1,True
sal anthony's,55 irving pl.,new york,212/982-9030,italian,-1,True
jackson's farm,439 n. beverly drive,los angeles,310/273-5578,californian,-1,True
bolo,23 e. 22nd st.,new york,212/228-2200,mediterranean,-1,True
jody maroni's sausage kingdom,2011 ocean front walk,venice,310-306-1995,hot dogs,-1,True
bizou,598 fourth st.,san francisco,415/543-2222,french,-1,True
pastis,1015 battery st.,san francisco,415/391-2555,french,-1,True
stars,150 redwood alley,san francisco,415/861-7827,american,-1,True
nicola,601 s. figueroa st.,los angeles,213/485-0927,american,-1,True
bar anise,1022 3rd ave.  between 60th and 61st sts.,new york,212/355-1112,mediterranean,-1,True
marichu,342 e. 46th st.  between 1st and 2nd aves.,new york,212/370-1866,french,-1,True
bacchanalia,3125 piedmont rd.  near peachtree rd.,atlanta,404/365-0410,international,-1,True
joe's shanghai,9 pell st.,queens,718-539-3838,chinese,-1,True
yama,122 e. 17th st.,new york city,212-475-0969,japanese,-1,True
empress court,3570 las vegas blvd. s,las vegas,702/731-7888,asian,-1,True
xunta,174 1st ave.  between 10th and 11th sts.,new york,212/614-0620,mediterranean,-1,True
tillerman  the,2245 e. flamingo rd.,las vegas,702-731-4036,steakhouses,-1,True
tillerman,2245 e. flamingo rd.,las vegas,702/731-4036,seafood,-1,True
johnny rockets (la),7507 melrose ave.,la,213-651-3361,american,-1,True
flying biscuit  the,1655 mclendon ave.,atlanta,404-687-8888,eclectic,-1,True
elias corner,24-02 31st st.,queens,718-932-1510,greek,-1,True
f. ille ponte ristorante,39 desbrosses st.  near west st.,new york,212/226-4621,italian,-1,True
spring street natural restaurant & bar,62 spring st. at lafayette st.,new york,212/966-0290,american,-1,True
capsouto freres,451 washington st.  near watts st.,new york,212/966-4900,french,-1,True
veni vidi vici,41 14th st.,atlanta,404/875-8424,italian,-1,True
