brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url,cluster_label,is_outlier
Huawei,U8510 IDEOS X3,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA,Class 10,Class 10,2011  February. Released 2011  July,Discontinued,110 x 56.5 x 11.2 mm (4.33 x 2.22 x 0.44 in),104,3.67,Mini-SIM,TFT capacitive touchscreen  16M colors,3.2 inches (~49.1% screen-to-body ratio),320 x 480 pixels (~180 ppi pixel density),Android 2.3 (Gingerbread),600 MHz ARM 11,Qualcomm MSM7227 Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot),512 MB,256 MB RAM,3.15 MP| autofocus,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,2.1| A2DP| EDR,Yes with A-GPS,,Stereo FM radio,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Po 1200 mAh battery,Black| Silver| Red,100.0,http://cdn2.gsmarena.com/vv/bigpic/huawei-ideos-x3.jpg,0,False
Asus,Pegasus,GSM / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2, TD-SCDMA,LTE band 38(2600)| 39(1900)| 40(2300),TD-SCDMA  TD-LTE,Yes,Yes,2014  December,Available. Released 2015  May,146 x 73 x 9.9 mm (5.75 x 2.87 x 0.39 in),140,4.94,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~64.7% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 4.4 (KitKat),Quad-core 1.5 GHz Cortex-A53,Mediatek MT6732,Mali-T760MP2,microSD  up to 32 GB (dedicated slot),8/16 GB,2 GB RAM,8 MP| f/2.0| autofocus| LED flash,5 MP| f/2.2,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,To be confirmed,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Po 2500 mAh battery,Black| White| Red| Gold,80.0,http://cdn2.gsmarena.com/vv/bigpic/asus-x002.jpg,-1,True
LG,Optimus LTE2,CDMA / HSPA / EVDO / LTE,CDMA 800 / 1900 - F160L, HSDPA - F160S| F160K, LTE - F160S| F160K,HSPA 42.2/5.76 Mbps  LTE Cat3 100/50 Mbps  EV-DO Rev.A 3.1 Mbps,No,No,2012  May,Available. Released 2012  August,134.7 x 69.5 x 8.9 mm (5.30 x 2.74 x 0.35 in),145,5.11,Mini-SIM,True HD-IPS LCD capacitive touchscreen  16M colors,4.7 inches (~65.0% screen-to-body ratio),720 x 1280 pixels (~312 ppi pixel density),Android 4.0 (Ice Cream Sandwich),Dual-core 1.5 GHz Krait,Qualcomm MSM8960 Snapdragon S4 Plus,Adreno 225,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM,8 MP| autofocus| LED flash,1.3 MP,Yes,Yes,Wi-Fi 802.11 a/b/g/n| dual-band| Wi-Fi Direct| DLNA| hotspot,4.0| A2DP| LE,Yes with A-GPS,Yes,No,microUSB 2.0 (MHL TV-out),Accelerometer| gyro| proximity| compass,Removable Li-Ion 2150 mAh battery,Black| white,210.0,http://cdn2.gsmarena.com/vv/bigpic/lg-optimus-lte2.jpg,65,False
alcatel,Pixi 4 (3.5),GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 21.1/5.76 Mbps,Yes,Yes,2016  January,Available. Released 2016  Q3,116 x 62 x 10 mm (4.57 x 2.44 x 0.39 in),,,Micro-SIM,TFT capacitive touchscreen  16M colors,3.5 inches (~50.7% screen-to-body ratio),320 x 480 pixels (~165 ppi pixel density),Android 5.1 (Lollipop),Dual-core 1.0 GHz Cortex-A7,Mediatek MT6572M,Mali-400,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,2 MP| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS (optional),,FM radio,microUSB 2.0,Accelerometer,Removable Li-Ion 1300 mAh battery,Various,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi4-35.jpg,0,False
HTC,S740,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 7.2/0.384 Mbps,Class 10,Class 10,2008  August. Released 2008  November,Discontinued,116.3 x 43.4 x 16.3 mm (4.58 x 1.71 x 0.64 in),140,4.94,Mini-SIM,TFT  65K colors,2.4 inches (~35.3% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),Microsoft Windows Mobile 6.1 Standard,528 MHz ARM 11,Qualcomm MSM7225 Snapdragon S1,,microSD (dedicated slot),256 MB ROM,256 MB RAM,3.2 MP,No,Yes,No,Wi-Fi 802.11b/g,2.0| A2DP,Yes with A-GPS,,No,miniUSB 2.0,,Removable Li-Po 1050 mAh battery,Black,120.0,http://cdn2.gsmarena.com/vv/bigpic/htc-s740.jpg,0,False
Samsung,E2370 Xcover,GSM,GSM 900 / 1800 ,,,,Class 10,Class 10,2010  February. Released 2010  August,Discontinued,112 x 49 x 19 mm (4.41 x 1.93 x 0.75 in),115,4.06,Mini-SIM,TFT  256K colors,1.77 inches (~18.0% screen-to-body ratio),128 x 160 pixels (~116 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),40 MB,,VGA,No,Yes with stereo speakers,No,No,2.1| A2DP,No,,Stereo FM radio| RDS| recording,microUSB 1.1,,Removable Li-Ion 2000 mAh battery,Red| Black,100.0,http://cdn2.gsmarena.com/vv/bigpic/Samsung-Xcover-E2370.jpg,0,False
Samsung,R900 Craft,CDMA / EVDO / LTE,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,LTE band 2(1900)| 4(1700/2100),EV-DO Rev.0  153.2 Kbps,No,No,2010  September. Released 2010  September,Discontinued,114.3 x 55.9 x 11.9 mm (4.5 x 2.20 x 0.47 in),106,3.74,Mini-SIM,AMOLED capacitive touchscreen  16M colors,3.3 inches (~48.5% screen-to-body ratio),480 x 800 pixels (~283 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot)  2 GB included,165 MB,,3.15 MP| autofocus| dual-LED flash,No,Yes,No,Wi-Fi 802.11 b/g,2.1| A2DP,Yes with A-GPS; MetroNavigator,,No,microUSB 2.0,,Removable Li-Ion 1500 mAh battery,Black,100.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-r900.jpg,0,False
Vertu,Signature S,GSM / UMTS,GSM 850 / 900 / 1800 / 1900 ,UMTS 850 / 2100 ,,Yes  384 kbps,Yes,Yes,2007. Released 2008  October,Discontinued,130 x 42 x 13 mm| 65 cc (5.12 x 1.65 x 0.51 in),From,5.86,Mini-SIM,TFT  16M colors,2.0 inches (~22.7% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),,,,,No,4 GB,,,,Yes,No,Wi-Fi 802.11 b/g,Yes,No,,No,microUSB,,Non-removable Li-Ion battery,White Gold| Yellow Gold| Stainless Steel,5160.0,http://cdn2.gsmarena.com/vv/bigpic/vertu-signature-s.jpg,0,False
Motorola,A668,GSM,GSM 900 / 1800 / 1900 ,,,,Yes,No,2004  4Q,Discontinued,92 x 44 x 23 mm (3.62 x 1.73 x 0.91 in),90,3.17,Mini-SIM,TFT resistive touchscreen  256K colors,,128 x 160 pixels,,,,,No,,,1.3 MP| LED flash,No,No,No,No,No,No,,No,Yes,,Removable Li-Ion 810 mAh battery,Silver| Black,,http://cdn2.gsmarena.com/vv/bigpic/moa668.gif,0,False
BenQ,P50,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,No,2004  1Q,Discontinued,122 x 60 x 20 mm (4.80 x 2.36 x 0.79 in),170,6,Mini-SIM,TFT resistive touchscreen  65K colors,2.8 inches| 42 x 57 mm (~33.2% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),Microsoft Windows PocketPC 2003 Phone edition,Intel PXA272 416 MHz,,,MMC/SDIO  up to 2 GB,64 MB ROM,64 MB RAM,1.3 MP,No,Yes,No,Wi-Fi 802.11b,1.1,No,,No,Yes,,Removable Li-Ion 1240 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/bqp50.gif,0,False
Huawei,Ascend G535,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,LTE band 3(1800)| 7(2600)| 20(800),HSPA  LTE Cat4 150/50 Mbps,Yes,Yes,2014  Q3,Available. Released 2014  Q3,131 x 65.3 x 7.9 mm (5.16 x 2.57 x 0.31 in),145,5.11,Micro-SIM,Capacitive touchscreen  16M colors,4.5 inches (~65.3% screen-to-body ratio),540 x 960 pixels (~245 ppi pixel density),Android 4.3 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,Qualcomm MSM8926 Snapdragon 400,Adreno 305,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,5 MP| LED flash,1 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Non-removable Li-Ion 2000 mAh battery,Black| White,110.0,http://cdn2.gsmarena.com/vv/bigpic/huawei-g535.jpg,0,False
Yezz,Andy 5E2I,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 - AM5E3I047,,HSPA 21.1/5.76 Mbps,Class 12,Class 12,2015  October,Available. Released 2015  November,145.5 x 75.3 x 9 mm (5.73 x 2.96 x 0.35 in),104,3.67,Dual SIM,TFT capacitive touchscreen  16M colors,5.0 inches (~62.9% screen-to-body ratio),480 x 854 pixels (~196 ppi pixel density),Android 5.1 (Lollipop),Dual-core 1.0 GHz Cortex-A7,Mediatek MT6572M,Mali-400,microSD  up to 64 GB,4 GB,512 MB RAM,5 MP,1.3 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| LE,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2000 mAh battery,Black| Cool Gray,,http://cdn2.gsmarena.com/vv/bigpic/yezz-andy-5e2i.jpg,0,False
Maxwest,Tab Phone 72DC,GSM / UMTS,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,UMTS 850 / 1900 / 2100 ,,HSPA 7.2/5.76 Mbps,Class 12,Class 12,2013  August,Available. Released 2013  August,187 x 107 x 9.2 mm (7.36 x 4.21 x 0.36 in),270,9.52,Dual SIM (Dual stand-by),TFT capacitive touchscreen,7.0 inches (~68.9% screen-to-body ratio),600 x 1024 pixels (~170 ppi pixel density),Android 4.1.2 (Jelly Bean),Dual-core 1.2 GHz Cortex-A9,Mediatek MT8377,PowerVR SGX531u,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,2 MP,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,Yes,Accelerometer| proximity,Non-removable Li-Ion 2800 mAh battery,Black/White,,http://cdn2.gsmarena.com/vv/bigpic/maxwest-72dc.jpg,-1,True
BLU,Life View,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100 ,,HSPA 42.2/5.76 Mbps,Class 12,Class 12,2013  March. Released 2013  April,Discontinued,161 x 82.5 x 8.9 mm (6.34 x 3.25 x 0.35 in),220,7.76,Dual SIM (Mini-SIM| dual stand-by),LED-backlit IPS LCD capacitive touchscreen  16M colors,5.7 inches (~67.4% screen-to-body ratio),720 x 1280 pixels (~258 ppi pixel density),Android 4.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,Mediatek MT6589,PowerVR SGX544,No,16 GB,1 GB RAM,12 MP| autofocus| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,,Stereo FM radio,microUSB 2.0,Accelerometer| gyro| proximity| compass,Removable Li-Ion 2600 mAh battery,Black| White,230.0,http://cdn2.gsmarena.com/vv/bigpic/blu-life-view.jpg,0,False
MWg,Zinc II,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,HSPA 3.6/0.384 Mbps,Class 10,Class 10,2008  May,Discontinued,109.5 x 59 x 18 mm (4.31 x 2.32 x 0.71 in),185,6.53,Mini-SIM,TFT resistive touchscreen  256K colors (65K effective),2.8 inches (~37.6% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),Microsoft Windows Mobile 6.1 Professional,Samsung 2442 500 MHz,,,microSD (dedicated slot),256 MB ROM,64 MB RAM,2 MP,No,Yes,No,Wi-Fi 802.11b/g,2.0| A2DP,Yes SiRF Star III chipset,,No,miniUSB 1.1,,Removable Li-Po 1530 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/mwg-zinc-ii.jpg,0,False
BLU,Energy X,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 / 2100 - E010Q,,HSPA 21.1/5.76 Mbps,Yes,Yes,2015  September,Available. Released 2015  September,142 x 70 x 8.9 mm (5.59 x 2.76 x 0.35 in),154,5.43,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~69.3% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A7,,,microSD  up to 64 GB,8 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,,Stereo FM radio,microUSB 2.0,Accelerometer| proximity,Non-removable Li-Po 4000 mAh battery,Gold| Grey,,http://cdn2.gsmarena.com/vv/bigpic/blu-energy-x.jpg,0,False
Nokia,103,GSM,GSM 900 / 1800 ,,,,No,No,2012  April,Available. Released 2012  Q4,107.2 x 45.1 x 15.3 mm (4.22 x 1.78 x 0.60 in),76.6,2.68,Mini-SIM,Monochrome graphic,1.36 inches (~11.6% screen-to-body ratio),96 x 68 pixels (~87 ppi pixel density),,,,,No,,,,,Yes,Yes,No,No,No,,Stereo FM radio,No,,Removable Li-Ion 800 mAh battery (BL-5CB),Blue/Orange,10.0,http://cdn2.gsmarena.com/vv/bigpic/nokia-103.jpg,0,False
Meizu,M5 Note,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 1900 / 2100 , LTE,HSPA  LTE,Yes,Yes,2016  December,Available. Released 2016  December,153.6 x 75.8 x 8.2 mm (6.05 x 2.98 x 0.32 in),175,6.17,Dual SIM (Nano-SIM| dual stand-by),LTPS IPS LCD capacitive touchscreen  16M colors,5.5 inches (~70.9% screen-to-body ratio),1080 x 1920 pixels (~403 ppi pixel density),Android 6.0 (Marshmallow),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mediatek MT6755 Helio P10,Mali-T860MP2,microSD  up to 256 GB (uses SIM 2 slot),16/32 GB,3 GB RAM or 64 GB| 4 GB RAM,13 MP| f/2.2| phase detection autofocus| dual-LED (dual tone) flash| ,5 MP| f/2.0,Yes,Yes,Wi-Fi 802.11 a/b/g/n| dual-band| hotspot,4.0| A2DP| LE,Yes with A-GPS GLONASS,,No,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,Non-removable 4000 mAh battery,Gray| Silver| Gold| Blue,190.0,http://cdn2.gsmarena.com/vv/bigpic/meizu-m5-note.jpg,73,False
alcatel,OT 300,GSM,GSM 900 / 1800 ,,,,No,No,2000,Discontinued,109 x 45 x 22 mm| 91 cc (4.29 x 1.77 x 0.87 in),103,3.63,Mini-SIM,Monochrome graphic,,5 lines,,,,,No,,,,,Yes,No,No,No,No,,No,,,Removable Li-Ion battery,5,,http://cdn2.gsmarena.com/vv/bigpic/alot300b.jpg,0,False
Samsung,D510,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2005  1Q,Discontinued,94 x 46 x 24 mm (3.70 x 1.81 x 0.94 in),95,3.35,Mini-SIM,TFT  256K colors,1.9 inches| 30 x 37 mm (~26.3% screen-to-body ratio),176 x 220 pixels (~148 ppi pixel density),,,,,microSD (dedicated slot),30 MB,,1.3 MP| LED flash,No,Yes with stereo speakers,No,No,1.2| A2DP,No,,No,1.1,,Removable Li-Ion 900 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/samsung-d510.gif,0,False
Celkon,A500,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,HSPA,Yes,Yes,2014  August,Available. Released 2014  August,141.4 x 72.6 x 10.2 mm (5.57 x 2.86 x 0.40 in),147,5.19,Dual SIM,Capacitive touchscreen,5.0 inches (~67.1% screen-to-body ratio),480 x 854 pixels (~196 ppi pixel density),Android 4.4.2 (KitKat),Dual-core 1.3 GHz Cortex-A7,Mediatek MT6572M,Mali-400,microSD  up to 32 GB,8 GB,1 GB RAM,5 MP,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,Yes,,FM radio,microUSB 2.0,Accelerometer| proximity,Li-Ion 2000 mAh battery,Black| White,90.0,http://cdn2.gsmarena.com/vv/bigpic/celkon-a500.jpg,0,False
Celkon,C74,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,2013  August,Available. Released 2013  August,-,,,Dual SIM (Mini-SIM| dual stand-by),TFT,2.8 inches,240 x 320 pixels (~143 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),,,1.3 MP,No,Yes,Yes,No,Yes,No,,FM radio,Yes,,Removable Li-Ion 1100 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/celkon-c74.jpg,0,False
verykool,s635,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 - SIM 1 only,,HSPA,Yes,Yes,2012  October,Available. Released 2012  October,108 x 57.2 x 12.5 mm (4.25 x 2.25 x 0.49 in),80,2.82,Dual SIM (Mini-SIM),TFT,2.0 inches (~20.1% screen-to-body ratio),320 x 240 pixels (~200 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),,,1.3 MP,No,Yes,TBD,Yes| hotspot,2.1,No,,FM radio,2,,Removable Li-Ion 1100 mAh battery,Black/Red| Black/Blue,,http://cdn2.gsmarena.com/vv/bigpic/verykool-s365.jpg,0,False
BlackBerry,Tour 9630,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 2100 ,,HSPA,Class 10,Class 10,2009  July. Released 2009  July,Discontinued,112 x 62 x 14.2 mm (4.41 x 2.44 x 0.56 in),130,4.59,Mini-SIM,65K colors,2.4 inches (~25.7% screen-to-body ratio),480 x 360 pixels (~250 ppi pixel density),BlackBerry OS,,,,microSD  up to 8 GB (dedicated slot),256 MB,,3.15 MP| autofocus| LED flash,No,Yes,Yes,No,2.0| A2DP,Yes with A-GPS BlackBerry Maps,,No,microUSB 2.0,,Removable Li-Ion 1400 mAh battery,Black,70.0,http://cdn2.gsmarena.com/vv/bigpic/bb-tour-9630.jpg,0,False
O2,XDA mini S,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Yes,2005  3Q,Discontinued,108 x 58 x 23 mm (4.25 x 2.28 x 0.91 in),160,5.64,Mini-SIM,TFT resistive touchscreen  65K colors,2.8 inches| 42 x 57 mm (~38.8% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),Microsoft Windows Mobile 5.0 PocketPC,200 MHz ARM926EJ-S,TI OMAP 850,,miniSD  up to 2 GB,128 MB ROM,64 MB RAM,1.3 MP| LED flash,No,Yes,No,Wi-Fi 802.11b/g,2,No,,No,miniUSB,,Removable Li-Po 1200 mAh battery,Silver,,http://cdn2.gsmarena.com/vv/bigpic/o2-xdamini-s.gif,0,False
LG,Wink Style T310,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,2010  August. Released 2010  August,Discontinued,102.9 x 56.9 x 11.9 mm (4.05 x 2.24 x 0.47 in),86.5,3.03,Mini-SIM,TFT resistive touchscreen  256K colors,2.8 inches (~41.5% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),,,,,microSD  up to 4 GB (dedicated slot),20 MB,,2 MP,No,Yes,Yes,Yes| Wi-Fi 802.11 b/g (carrier dependant),2.1| A2DP| EDR,No,,Stereo FM radio| RDS; built-in antenna,microUSB 2.0,,Removable Li-Ion 900 mAh battery,Black&Red| White&Organge| Black&Titan Silver| Pink&White,60.0,http://cdn2.gsmarena.com/vv/bigpic/lg-wink-style-t310.jpg,0,False
verykool,i625,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,No,2012  October,Available. Released 2012  October,111 x 58.4 x 11.2 mm (4.37 x 2.30 x 0.44 in),110,3.88,Dual SIM (Mini-SIM),TFT,2.3 inches (~25.3% screen-to-body ratio),320 x 240 pixels (~174 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),,,1.3 MP,No,Yes,Yes,Yes,2.0| A2DP,No,,Wireless FM,Yes,,Removable Li-Ion battery,Black/Red| White/Blue,,http://cdn2.gsmarena.com/vv/bigpic/verykool-i625.jpg,0,False
Micromax,Bolt Supreme Q300,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA,Yes,Yes,2016  May,Available. Released 2016  May,-,,,Dual SIM (Micro-SIM| dual stand-by),TFT touchscreen  256K colors,3.5 inches,320 x 480 pixels (~165 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.2 GHz,Spreadtrum SC7731C,,microSD  up to 32 GB,4 GB,512 MB RAM,2 MP| LED flash,VGA,Yes,Yes,Yes,2.1,No,,FM radio,microUSB 2.0,Accelerometer,Li-Ion 1200 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/micromax-q300.jpg,0,False
Micromax,A109 Canvas XL2,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA,Yes,Yes,2014  August,Available. Released 2014  August,,,,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.5 inches,540 x 960 (~200 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.2 GHz Cortex-A7,Mediatek MT6589M,PowerVR SGX544,microSD  up to 32 GB,4 GB,1 GB RAM,5 MP| autofocus| LED flash,VGA,Yes,Yes,Yes,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2500 mAh battery,White,,http://cdn2.gsmarena.com/vv/bigpic/micromax-a109.jpg,0,False
BenQ-Siemens,EF61,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2006  July,Discontinued,88 x 46 x 23 mm (3.46 x 1.81 x 0.91 in),99,3.49,Mini-SIM,TFT  256K colors,,128 x 160 pixels,,,,,microSD (dedicated slot),1.5 MB,,1.3 MP,No,No,No,No,Yes,No,,No,1.1,,Removable Li-Ion 750 mAh battery,Whisper,,http://cdn2.gsmarena.com/vv/bigpic/benqsiemens-ef61.gif,0,False
Samsung,Google Nexus S 4G,CDMA / EVDO,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,,EV-DO Rev.A 3.1 Mbps,No,No,2011  March,Available. Released 2011  May 8th,123.9 x 63 x 10.9 mm (4.88 x 2.48 x 0.43 in),131,4.62,Mini-SIM,Super AMOLED capacitive touchscreen  16M colors,4.0 inches (~58.3% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 2.3 (Gingerbread),1.0 GHz Cortex-A8,Hummingbird,PowerVR SGX540,No,16 GB,512 MB RAM,5 MP| autofocus| LED flash,VGA,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n| WiMAX| hotspot,2.1| A2DP| EDR,Yes with A-GPS,Yes,No,microUSB 2.0,Accelerometer| gyro| proximity| compass| barometer,Removable Li-Ion 1500 mAh battery,Black,150.0,http://cdn2.gsmarena.com/vv/bigpic/Samsung-Nexus-S-4G.jpg,0,False
Gionee,Marathon M5,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 1900 / 2100 ,LTE band 1(2100)| 3(1800)| 7(2600)| 20(800)| 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA  LTE,Class 12,Class 12,2015  June,Available. Released 2015  November,152 x 76 x 8.6 mm (5.98 x 2.99 x 0.34 in),211,7.44,Dual SIM (Micro-SIM| dual stand-by),AMOLED capacitive touchscreen  16M colors,5.5 inches (~72.2% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A53,Mediatek MT6735,Mali-T720MP2,microSD  up to 256 GB (dedicated slot),32 GB,3 GB RAM,13 MP| f/2.0| phase detection autofocus| LED flash,5 MP| f/2.2| 720p,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio| RDS| recording,microUSB 2.0| USB On-The-Go,Accelerometer| proximity| compass,Non-removable Li-Po 6020 mAh battery,White| Gold| Black,330.0,http://cdn2.gsmarena.com/vv/bigpic/gionee-marathon-m5-new.jpg,-1,True
Vertu,Ascent,GSM,GSM 900 / 1800 / 1900 ,,,,Yes,No,2004,Discontinued,108 x 44 x 22 mm| 78 cc (4.25 x 1.73 x 0.87 in),173,6.1,Mini-SIM,,,116 x 148 pixels,,,,,No,,,,,Yes,No,No,Yes,No,,No,,,Removable Li-Ion 780 mAh battery,Yellow| Blue| Red| Black| Brown| Tan,3320.0,http://cdn2.gsmarena.com/vv/bigpic/vertu_ascent.gif,0,False
Wiko,Pulp 4G,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 1900 / 2100 ,LTE band 1(2100)| 3(1800)| 7(2600)| 20(800),HSPA 21.1/5.76 Mbps  LTE Cat4 150/50 Mbps,Up to 107 kbps,Up to 296 kbps,2015  November,Available. Released 2015  November,143.9 x 72 x 8.8 mm (5.67 x 2.83 x 0.35 in),151,5.33,Dual SIM (Micro-SIM/Nano-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~66.5% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,Adreno 306,microSD  up to 64 GB (uses SIM 2 slot),16 GB,2 GB RAM,13 MP| autofocus| LED flash,5 MP| LED flash,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0| USB Host,Accelerometer| gyro| proximity| compass,Removable Li-Po 2500 mAh battery,Black| White| Chocolate| Electric Blue| Flashy Red,,http://cdn2.gsmarena.com/vv/bigpic/wiko-pulp-4g.jpg,0,False
