name,addr,city,phone,type,cluster_label,is_outlier
straits cafe,3300 geary blvd.,san francisco,415/668-1783,asian,1,False
french roast cafe,2340 broadway at 85th st.,new york,212/799-1533,coffee bar,9,False
gumbo pot  the,6333 w. third st.,la,213-933-0358,cajun/creole,23,False
cafe renaissance,7050 jimmy carter blvd.  norcross,atlanta,770/441--0291,american,24,False
south of france,2345 cheshire bridge rd.,atlanta,404/325-6963,french,25,False
pano's and paul's,1232 w. paces ferry rd.,atlanta,404/261-3662,international,24,False
fog city diner,1300 battery st.,san francisco,415/982-2000,american,10,False
mad fish,2182 broadway  between 77th and 78th sts.,new york,212/787-0202,seafood,12,False
georgia grille,2290 peachtree rd.,atlanta,404-352-3517,southwestern,24,False
gladstone's,4 fish 17300 pacific coast hwy. at sunset blvd.,pacific palisades,310/454-3474,american,-1,True
lillie langtry's,129 e. fremont st.,las vegas,702/385-7111,asian,5,False
windows on the world,107th fl.,new york city,212-524-7000,eclectic,-1,True
island spice,402 w. 44th st.,new york,212/765-1737,tel caribbean,26,False
river cafe,1 water st.,brooklyn,718-522-5200,american (new),27,False
the savannah club,2420 broadway at 89th st.,new york,212/496-1066,american,4,False
sarabeth's kitchen,423 amsterdam ave.  between 80th and 81st sts.,new york,212/496-6280,american,4,False
petrossian,182 w. 58th st.,new york,212/245-2214,french,28,False
san domenico,240 central park s,new york,212/265-5959,italian,14,False
bix,56 gold st.,san francisco,415/433-6300,american,10,False
march,405 e. 58th st.,new york,212/754-6272,american,4,False
sofia fabulous pizza,1022 madison ave.  near 79th st.,new york,212/734-2676,italian,14,False
lutece,249 e. 50th st.,new york city,212-752-2225,french (classic),28,False
cupcake cafe,522 9th ave. at 39th st.,new york,212/465-1530,coffee bar,9,False
victor's cafe,52 236 w. 52nd st.,new york,212/586-7714,latin american,29,False
brookhaven cafe,4274 peachtree rd.,atlanta,404-231-5907,vegetarian,-1,True
greenwood's,1087 green st.,roswell,770-992-5383,southern/soul,-1,True
sa tsu ki,3043 buford hwy.,atlanta,404/325-5285,asian,30,False
sundown cafe,2165 cheshire bridge rd.,atlanta,404/321-1118,american,24,False
mesa grill,102 5th ave.  between 15th and 16th sts.,new york,212/807-7400,american,4,False
chinois on main,2709 main st.,santa monica,310-392-9025,pacific new wave,-1,True
anthonys,3109 piedmont rd.  just south of peachtree rd.,atlanta,404/262-7379,american,24,False
valentino,3115 pico blvd.,santa monica,310-829-4313,italian,14,False
valentino,3115 pico blvd.,santa monica,310/829-4313,italian,14,False
chez jacqueline,72 macdougal st.  between w. houston and bleecker sts.,new york,212/505-0727,french,28,False
heera of india,595 piedmont ave.,atlanta,404-876-4408,indian,30,False
szechuan hunan cottage,1588 york ave.,new york city,212-535-5223,chinese,31,False
nickiemoto's: a sushi bar,247 buckhead ave.  east village sq.,atlanta,404/842-0334,fusion,-1,True
cafe blanc,9777 little santa monica blvd.,beverly hills,310-888-0108,pacific new wave,32,False
rubicon,558 sacramento st.,san francisco,415/434-4100,american,10,False
cafe  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,ext 6108 international,24,False
nava,3060 peachtree rd.,atlanta,404-240-1984,southwestern,24,False
california culinary academy,625 polk st.,san francisco,415/771-3500,french,10,False
pano's & paul's,1232 w. paces ferry rd.,atlanta,404-261-3662,american (new),24,False
hayes street grill,320 hayes st.,san francisco,415/863-5545,seafood,1,False
michael's (los angeles),1147 third st.,santa monica,310-451-0843,californian,33,False
jack's,615 sacramento st.,san francisco,415/986-9854,old san francisco,34,False
le dome,8720 sunset blvd.,los angeles,310/659-6919,french,15,False
les halles,411 park ave. s  between 28th and 29th sts.,new york,212/679-4111,french,28,False
corrado cafe,1013 3rd ave.  between 60th and 61st sts.,new york,212/753-5100,coffee bar,9,False
antonio's,3700 w. flamingo,las vegas,702/252-7737,italian,5,False
fenix at the argyle,8358 sunset blvd.,w. hollywood,213-848-6677,french (new),-1,True
art's deli,12224 ventura blvd.,studio city,818-762-1221,delis,-1,True
inca grill,492 broome st.  near w. broadway,new york,212/966-3371,latin american,29,False
le colonial,8783 beverly blvd.,los angeles,310/289-0660,asian,20,False
harbor village,4 embarcadero center,san francisco,415/781-8833,asian,1,False
planet hollywood,140 w. 57th st.,new york,212/333-7827,american,4,False
ipanema,13 w. 46th st.,new york,212/730-5848,latin american,29,False
rose pistola,532 columbus ave.,san francisco,415/399-0499,italian,16,False
eats,600 ponce de leon ave.,atlanta,404-888-9149,italian,35,False
monkey bar,60 e. 54th st.,new york,212/838-2600,american,4,False
alon's at the terrace,659 peachtree st.,atlanta,404-724-0444,sandwiches,-1,True
caffe bondi ristorante,7 w. 20th st.,new york,212/691-8136,italian,14,False
la grotta at ravinia dunwoody rd.,holiday inn/crowne plaza at ravinia  dunwoody,atlanta,770/395-9925,italian,35,False
campanile,624 s. la brea ave.,los angeles,213-938-1447,californian,4,False
hard rock cafe,8600 beverly blvd.,los angeles,310/276-7605,american,4,False
l'orangerie,903 n. la cienega blvd.,los angeles,310/652-9770,french,15,False
fishin eddie,73 w. 71st st.,new york,212/874-3474,seafood,12,False
ritz-carlton dining room (san francisco),600 stockton st.,san francisco,415-296-7465,french (new),10,False
garden court,market and new montgomery sts.,san francisco,415/546-5011,old san francisco,34,False
one if by land  tibs,17 barrow st.,new york city,212-228-0822,continental,-1,True
la taqueria,2889 mission st.,san francisco,415-285-7117,mexican,36,False
imperial fez,2285 peachtree rd.  peachtree battle condominium,atlanta,404/351-0870,mediterranean,13,False
dix et sept,181 w. 10th st.,new york,212/645-8023,french,28,False
ej's luncheonette,432 sixth ave.,new york city,212-473-5555,diners,37,False
fringale,570 fourth st.,san francisco,415-543-0573,french bistro,10,False
chan dara,310 n. larchmont blvd.,los angeles,213/467-1052,asian,20,False
march,405 e. 58th st.,new york city,212-754-6272,american (new),4,False
s.p.q.r,133 mulberry st.  between hester and grand sts.,new york,212/925-3120,italian,14,False
mani's bakery & espresso bar,519 s. fairfax ave.,la,213-938-8800,desserts,-1,True
bugsy's diner,3555 las vegas blvd. s,las vegas,702/733-3111,coffee shops/diners,38,False
20 mott,20 mott st.  between bowery and pell st.,new york,212/964-0380,asian,3,False
toulouse,b peachtree rd.,atlanta,404/351-9533,french,25,False
pink's famous chili dogs,709 n. la brea ave.,la,213-931-4223,hot dogs,-1,True
verbena,54 irving pl. at 17th st.,new york,212/260-5454,american,4,False
bone's restaurant,3130 piedmont rd. ne,atlanta,404-237-2663,steakhouses,39,False
island spice,402 w. 44th st.,new york city,212-765-1737,caribbean,26,False
des alpes,732 broadway,san francisco,415/788-9900,french,10,False
tomtom,3393 peachtree rd.,atlanta,404/264-1163,continental,21,False
tavola calda,7371 melrose ave.,los angeles,213/658-6340,italian,2,False
four seasons grill room,99 e. 52nd st.,new york,212/754-9494,american,4,False
center stage plaza hotel,1 main st.,las vegas,702/386-2512,american,40,False
alain rondelli,126 clement st.,san francisco,415/387-0408,french,10,False
remi,3rd st. promenade,santa monica,310/393-6545,italian,14,False
zarzuela,2000 hyde st.,san francisco,415/346-0800,mexican/latin american/spanish,41,False
bertolini's,3570 las vegas blvd. s,las vegas,702/735-4663,italian,5,False
cha cha cha,656 n. virgil ave.,los angeles,213/664-7723,caribbean,-1,True
lutece,249 e. 50th st.,new york,212/752-2225,french,28,False
la grenouille,3 e. 52nd st.,new york city,212-752-1495,french (classic),28,False
second avenue deli,156 second ave.,new york city,212-677-0606,delis,42,False
smith & wollensky,797 third ave.,new york city,212-753-1530,steakhouses,43,False
tommy's,2575 beverly blvd.,la,213-389-9060,hamburgers,44,False
alamo,304 e. 48th st.,new york,212/ 759-0590,mexican,45,False
clearwater cafe,168 w. colorado blvd.,los angeles,818/356-0959,health food,46,False
arnie morton's of chicago,435 s. la cienega blv.,los angeles,310/246-1501,american,4,False
sally's cafe & bakery,300 de haro st.,san francisco,415-626-6006,american,10,False
parioli romanissimo,24 e. 81st st.,new york,212/288-2391,italian,14,False
stick to your ribs,5-16 51st ave.,queens,718-937-3030,bbq,-1,True
lattanzi ristorante,361 w. 46th st.,new york,212/315-0980,italian,14,False
brent's deli,19565 parthenia ave.,northridge,818-886-5679,delis,-1,True
tavern on the green,in central park at 67th st.,new york,212/873-3200,american,4,False
the mandarin,430 n. camden dr.,los angeles,310/859-0926,asian,20,False
jiraffe,502 santa monica blvd,santa monica,310-917-6671,californian,33,False
second avenue deli,156 2nd ave. at 10th st.,new york,212/677-0606,delicatessen,47,False
border grill,4th st.,los angeles,310/451-1655,mexican,48,False
le soleil,133 clement st.,san francisco,415/668-4848,asian,1,False
cypress club,500 jackson st.,san francisco,415/296-8555,american,10,False
west,63rd street steakhouse 44 w. 63rd st.,new york,212/246-6363,american,4,False
schatzi on main,3110 main st.,los angeles,310/399-4800,continental,49,False
caffe dante,81 macdougal st.  between houston and bleeker sts.,new york,212/982-5275,coffee bar,9,False
harris',2100 van ness ave.,san francisco,415/673-1888,steak houses,8,False
steak house,2880 las vegas blvd. s,las vegas,702/734-0410,steak houses,22,False
palio d'asti,640 sacramento st.,san francisco,415/395-9800,italian,16,False
broiler,4111 boulder hwy.,las vegas,702/432-7777,american,40,False
tre visi,3799 las vegas blvd. s.,las vegas,702-891-7331,italian,5,False
scala's bistro,432 powell st.,san francisco,415/395-8555,italian,16,False
global,33 93 2nd ave.  between 5th and 6th sts.,new york,212/477-8427,american,4,False
posto,14928 ventura blvd.,sherman oaks,818/784-4400,italian,-1,True
macarthur park,607 front st.,san francisco,415/398-5700,american,10,False
bruno,240 e. 58th st.,new york,212/688-4190,italian,14,False
motown cafe,104 w. 57th st.  near 6th ave.,new york,212/581-8030,american,4,False
ct,111 e. 22nd st.  between park ave. s and lexington ave.,new york,212/995-8500,french,28,False
fat matt's rib shack,1811 piedmont ave.  near cheshire bridge rd.,atlanta,404/607-1622,barbecue,50,False
21 club,21 w. 52nd st.,new york,212/582-7200,american,4,False
felix,340 w. broadway at grand st.,new york,212/431-0021,french,28,False
grand ticino,228 thompson st.  between w. 3rd and bleecker sts.,new york,212/777-5922,italian,14,False
pamplemousse,400 e. sahara ave.,las vegas,702/733-2066,continental,5,False
nate 'n' al's,414 n. beverly dr.,los angeles,310/274-0101,american,4,False
cafe claude,7 claude ln.,san francisco,415-392-3505,french bistro,10,False
wa-ha-ka oaxaca mexican grill,2141 polk st.,san francisco,415-775-1055,mexican,36,False
edison cafe,228 w. 47th st.,new york city,212-840-5000,diners,37,False
picholine,35 w. 64th st.,new york city,212-724-8585,mediterranean,51,False
carnegie deli,854 seventh ave.,new york city,212-757-2245,delis,42,False
original pancake house (at),4330 peachtree rd.,atlanta,404-237-4116,american,24,False
atlanta fish market,265 pharr rd.,atlanta,404/262-3165,american,24,False
oceana,55 e. 54th st.,new york,212/759-5941,seafood,12,False
post house,28 e. 63rd st.,new york,212/935-2888,american,4,False
harry denton's,161 steuart st.,san francisco,415/882-1333,american,10,False
cafe sunflower,5975 roswell rd.,atlanta,404-256-1675,health food,-1,True
rumpus,1 tillman pl.,san francisco,415/421-2300,american,10,False
pane e vino,3011 steiner st.,san francisco,415/346-2111,italian,16,False
ritz-carlton cafe (buckhead),3434 peachtree rd. ne,atlanta,404-237-2700,american (new),24,False
boonthai,1393a 2nd ave.  between 72nd and 73rd sts.,new york,212/249-8484,asian,3,False
veniero's pasticceria,342 e. 11th st.  near 1st ave.,new york,212/674-7264,coffee bar,9,False
carmine's,2450 broadway,new york city,212-362-2200,italian,14,False
bill's place,2315 clement st.,san francisco,415-221-5262,hamburgers,0,False
abruzzi,2355 peachtree rd. ne,atlanta,404-261-8186,italian,35,False
smith & wollensky,201 e. 49th st.,new york,212/753-1530,american,4,False
parkway grill,510 s. arroyo pkwy.,pasadena,818-795-1001,californian,52,False
sam's noodle shop,411 third ave.,new york city,212-213-2288,chinese,31,False
toulouse,293-b peachtree rd.,atlanta,404-351-9533,french (new),25,False
pho hoa,642 broadway,chinatown,213-626-5530,vietnamese,-1,True
aureole,34 e. 61st st.,new york,212/ 319-1660,american,4,False
docks,633 3rd ave. at 40th st.,new york,212/ 986-8080,seafood,12,False
remi,145 w. 53rd st.,new york,212/581-4242,italian,14,False
phnom penh cambodian restaurant,631 larkin st.,san francisco,415-775-5979,cambodian,-1,True
sylvia's,328 lenox ave.,new york city,212-996-0660,southern/soul,-1,True
caffe reggio,119 macdougal st.  between 3rd and bleecker sts.,new york,212/475-9557,coffee bar,9,False
fiorello's roman cafe,1900 broadway  between 63rd and 64th sts.,new york,212/595-5330,italian,14,False
chopstix,4279 roswell rd.,atlanta,404-255-4868,chinese,-1,True
second street grille,200 e. fremont st.,las vegas,702/385-3232,seafood,5,False
teresa's,103 1st ave.  between 6th and 7th sts.,new york,212/228-0604,east european,18,False
golden unicorn,18 e. broadway at catherine st.,new york,212/ 941-0911,asian,3,False
ocean park cafe,3117 ocean park blvd.,santa monica,310-452-5728,american,14,False
palace court,3570 las vegas blvd. s.,las vegas,702-731-7110,french (new),5,False
le gamin,50 macdougal st.  between houston and prince sts.,new york,212/254-4678,coffee bar,9,False
annie's thai castle,3195 roswell rd.,atlanta,404/264-9546,asian,30,False
ocean avenue,1401 ocean ave.,santa monica,310/394-5669,american,14,False
caffe lure,169 sullivan st.  between houston and bleecker sts.,new york,212/473-2642,french,28,False
grill  the,9560 dayton way,beverly hills,310-276-0615,american (traditional),-1,True
mary mac's tea room,224 ponce de leon ave.,atlanta,404/876-1800,southern,6,False
rainbow restaurant,2118 n. decatur rd.,decatur,404-633-3538,vegetarian,-1,True
cafe botanica,160 central park s,new york,212/484-5120,french,28,False
l'auberge,1191 1st ave.  between 64th and 65th sts.,new york,212/288-8791,middle eastern,7,False
havana sandwich shop,2905 buford hwy.,atlanta,404-636-4094,cuban,-1,True
citrus,6703 melrose ave.,los angeles,213/857-0034,californian,4,False
lola,30 west 22nd st.  between 5th and 6th ave.,new york,212/675-6700,american,4,False
lucky strike,59 grand st.  between wooster st. and w. broadway,new york,212/941-0479,or 212/941-0772 american,-1,True
bouterin,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french,28,False
firehouse,522 columbus ave.  between 85th and 86th sts.,new york,212/595-3139,american,4,False
le chardonnay (los angeles),8284 melrose ave.,los angeles,213-655-8880,french bistro,15,False
sparks steak house,210 e. 46th st.,new york city,212-687-4855,steakhouses,43,False
indigo coastal grill,1397 n. highland ave.,atlanta,404-876-0676,eclectic,53,False
bistro,3400 las vegas blvd. s,las vegas,702/791-7111,continental,5,False
rex il ristorante,617 s. olive st.,los angeles,213/627-2300,italian,2,False
nikolai's roof,255 courtland st.,atlanta,404-221-6362,continental,21,False
ed debevic's,134 n. la cienega,los angeles,310/659-1952,american,4,False
cucina della fontana,368 bleecker st.,new york city,212-242-0636,italian,14,False
gaylord's,ghirardelli sq.,san francisco,415/771-8822,asian,1,False
bruno's,3838 centinela ave.,mar vista,310-397-5703,italian,-1,True
moustache,405 atlantic ave.,brooklyn,718-852-5555,middle eastern,-1,True
brasserie le coze,3393 peachtree rd.  lenox square mall  near neiman marcus,atlanta,404/266-1440,french,25,False
agrotikon,322 e. 14 st.  between 1st and 2nd aves.,new york,212/473-2602,mediterranean,51,False
emeril's new orleans fish house,3799 las vegas blvd. s.,las vegas,702-891-7374,seafood,5,False
granita,23725 w. malibu rd.,malibu,310-456-0488,californian,54,False
tavern on the green,central park west,new york city,212-873-3200,american (new),4,False
caffe roma,385 broome st. at mulberry,new york,212/226-8413,coffee bar,9,False
joss,9255 sunset blvd.,los angeles,310/276-1886,asian,20,False
zankou chicken,1415 e. colorado st.,glendale,818-244-1937,middle eastern,-1,True
white house restaurant,3172 peachtree rd. ne,atlanta,404-237-7601,diners,55,False
aqua,252 california st.,san francisco,415/956-9662,seafood,1,False
san domenico,240 central park s.,new york city,212-265-5959,italian,14,False
bamboo garden,4850 flamingo rd.,las vegas,702/871-3262,asian,5,False
dining room  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,international,24,False
billy's,948 1st ave.  between 52nd and 53rd sts.,new york,212/753-1870,american,4,False
diaghilev,1020 n. san vicente blvd.,w. hollywood,310-854-1111,russian,-1,True
afghan kebab house,764 ninth ave.,new york city,212-307-1612,afghan,-1,True
suppenkuche,601 hayes st.,san francisco,415/252-9289,russian/german,-1,True
kabuto sushi,5116 geary blvd.,san francisco,415/752-5652,asian,1,False
chevys,4th and howard sts.,san francisco,415/543-8060,mexican/latin american/spanish,41,False
luna si,1931 peachtree rd.,atlanta,404/355-5993,continental,21,False
mario's bohemian cigar store cafe,2209 polk st.,san francisco,415-776-8226,italian,16,False
yujean kang's,67 n. raymond ave.,pasadena,818-585-0855,chinese,-1,True
stefano's,129 fremont st.,las vegas,702-385-7111,italian,5,False
buckhead diner,3073 piedmont rd.,atlanta,404-262-3336,american (new),24,False
la fonda latina,4427 roswell rd.,atlanta,404-303-8201,spanish,-1,True
la grotta,2637 peachtree rd. ne,atlanta,404-231-1368,italian,35,False
granita,23725 w. malibu rd.,malibu,310/456-0488,californian,54,False
hsu's gourmet,192 peachtree center ave.  at international blvd.,atlanta,404/659-2788,asian,30,False
aquavit,13 w. 54th st.,new york,212/307-7311,continental,11,False
cha cha cha's,1805 haight st.,san francisco,415-386-5758,caribbean,-1,True
hugo's cellar,202 e. fremont st.,las vegas,702-385-4011,continental,5,False
little szechuan,c buford hwy.  northwoods plaza  doraville,atlanta,770/451-0192,asian,30,False
katia's,600 5th ave.,san francisco,415/668-9292,,-1,True
two two two,222 w. 79th st.,new york,212/799-0400,american,4,False
west beach cafe,60 n. venice blvd.,los angeles,310/823-5396,american,4,False
buca giovanni,800 greenwich st.,san francisco,415/776-7766,italian,16,False
barney greengrass,9570 wilshire blvd.,beverly hills,310/777-5877,american,-1,True
locanda veneta,3rd st.,los angeles,310/274-1893,italian,2,False
kokomo cafe,6333 w. third st.,la,213-933-0773,american,23,False
pen & pencil,205 e. 45th st.,new york,212/682-8660,american,4,False
fujiyama mama,467 columbus ave.  between 82nd and 83rd sts.,new york,212/769-1144,asian,3,False
broadway deli,3rd st. promenade,santa monica,310/451-0616,american,14,False
pinot bistro,12969 ventura blvd.,studio city,818-990-0500,french bistro,15,False
zab-e-lee,4837 old national hwy.,college park,404-768-2705,thai,-1,True
hi-life restaurant and lounge,1340 1st ave. at 72nd st.,new york,212/249-3600,american,4,False
tapika,950 8th ave. at 56th st.,new york,212/ 397-3737,american,4,False
cafe flore,2298 market st.,san francisco,415-621-8579,californian,56,False
lemongrass grill,61a seventh ave.,brooklyn,718-399-7100,thai,-1,True
killer shrimp,4000 colfax ave.,studio city,818-508-1570,seafood,-1,True
cafe claude,7 claude la.,san francisco,415/392-3505,french,10,False
marnie's noodle shop,466 hudson st.,new york city,212-741-3214,asian,57,False
palm too,840 second ave.,new york city,212-697-5198,steakhouses,43,False
coco loco,40  buckhead crossing mall on the sidney marcus blvd.,atlanta,404/364-0212,caribbean,-1,True
campo santo,240 columbus ave.,san francisco,415-433-9623,mexican,36,False
andre's french restaurant,401 s. 6th st.,las vegas,702-385-5016,french (classic),-1,True
caffe greco,423 columbus ave.,san francisco,415-397-6261,continental,-1,True
georgia grille,2290 peachtree rd.  peachtree square shopping center,atlanta,404/352-3517,american,24,False
north india,3131 webster st.,san francisco,415/931-1556,asian,1,False
bone's,3130 piedmont road,atlanta,404/237-2663,american,24,False
hyde street bistro,1521 hyde st.,san francisco,415/441-7778,italian,16,False
moose's,1652 stockton st.,san francisco,415/989-7800,mediterranean,1,False
cafe '50s,838 lincoln blvd.,venice,310-399-1955,american,-1,True
rainbow room,30 rockefeller plaza,new york city,212-632-5000,american (new),4,False
beaurivage,26025 pacific coast hwy.,malibu,310/456-5733,french,-1,True
house of chan,2469 cobb pkwy.,smyrna,770-955-9444,chinese,-1,True
park avenue cafe (new york city),100 e. 63rd st.,new york city,212-644-1900,american (new),4,False
montien,1134 1st ave.   between 62nd and 63rd sts.,new york,212/421-4433,asian,3,False
milan cafe and coffee bar,120 w. 23rd st.,new york,212/807-1801,coffee bar,9,False
greens,bldg. a fort mason,san francisco,415/771-6222,vegetarian,58,False
seryna,11 e. 53rd st.,new york city,212-980-9393,japanese,59,False
cafe lalo,201 w. 83rd st.,new york city,212-496-6031,coffeehouses,9,False
bacchanalia,3125 piedmont rd.,atlanta,404-365-0410,californian,24,False
le perigord,405 e. 52nd st.,new york,212/755-6244,french,28,False
majestic,1031 ponce de leon ave.,atlanta,404-875-0276,diners,55,False
khan toke thai house,5937 geary blvd.,san francisco,415-668-6654,thai,1,False
piero's restaurant,355 convention center dr.,las vegas,702-369-2305,italian,5,False
duke's,8909 sunset blvd.,w. hollywood,310-652-3100,coffee shops,-1,True
campanile,624 s. la brea ave.,los angeles,213/938-1447,american,4,False
swan oyster depot,1517 polk st.,san francisco,415-673-1101,seafood,1,False
pinot bistro,12969 ventura blvd.,los angeles,818/990-0500,french,15,False
sal anthony's,55 irving pl.,new york,212/982-9030,italian,14,False
jackson's farm,439 n. beverly drive,los angeles,310/273-5578,californian,4,False
bolo,23 e. 22nd st.,new york,212/228-2200,mediterranean,51,False
jody maroni's sausage kingdom,2011 ocean front walk,venice,310-306-1995,hot dogs,-1,True
bizou,598 fourth st.,san francisco,415/543-2222,french,10,False
pastis,1015 battery st.,san francisco,415/391-2555,french,10,False
stars,150 redwood alley,san francisco,415/861-7827,american,10,False
nicola,601 s. figueroa st.,los angeles,213/485-0927,american,4,False
bar anise,1022 3rd ave.  between 60th and 61st sts.,new york,212/355-1112,mediterranean,51,False
marichu,342 e. 46th st.  between 1st and 2nd aves.,new york,212/370-1866,french,28,False
bacchanalia,3125 piedmont rd.  near peachtree rd.,atlanta,404/365-0410,international,24,False
joe's shanghai,9 pell st.,queens,718-539-3838,chinese,-1,True
yama,122 e. 17th st.,new york city,212-475-0969,japanese,59,False
empress court,3570 las vegas blvd. s,las vegas,702/731-7888,asian,5,False
xunta,174 1st ave.  between 10th and 11th sts.,new york,212/614-0620,mediterranean,51,False
tillerman  the,2245 e. flamingo rd.,las vegas,702-731-4036,steakhouses,5,False
tillerman,2245 e. flamingo rd.,las vegas,702/731-4036,seafood,5,False
johnny rockets (la),7507 melrose ave.,la,213-651-3361,american,23,False
flying biscuit  the,1655 mclendon ave.,atlanta,404-687-8888,eclectic,53,False
elias corner,24-02 31st st.,queens,718-932-1510,greek,-1,True
f. ille ponte ristorante,39 desbrosses st.  near west st.,new york,212/226-4621,italian,14,False
spring street natural restaurant & bar,62 spring st. at lafayette st.,new york,212/966-0290,american,4,False
capsouto freres,451 washington st.  near watts st.,new york,212/966-4900,french,28,False
veni vidi vici,41 14th st.,atlanta,404/875-8424,italian,35,False
sign of the dove,1110 third ave.,new york city,212-861-8080,american (new),4,False
lombardi's,32 spring st.,new york city,212-941-7994,pizza,60,False
mccormick & kuleto's,ghirardelli sq.,san francisco,415/929-1730,seafood,1,False
second street grill,200 e. fremont st.,las vegas,702-385-6277,pacific rim,5,False
soto,3330 piedmont rd.,atlanta,404-233-2005,japanese,-1,True
campton place,340 stockton st.,san francisco,415-955-5555,american (new),1,False
millennium,246 mcallister st.,san francisco,415/487-9800,vegetarian,58,False
tommy tang's,7313 melrose ave.,los angeles,213/937-5733,asian,20,False
