restaurant_name,cuisine,area,rating,cost_for_two,online_order,book_table,votes,phone,address,cluster_label,is_outlier
Mediterranean Delight,Italian,BTM Layout,3.7,2000,Yes,Yes,598,1400259576,8 Electronic City Bangalore,-1,True
Seafood Shack,Japanese,BTM Layout,4.4,300,No,Yes,3995,30090291,91 Marathahalli Bangalore,-1,True
Noodle Bar,Continental,Indiranagar,4.2,300,Yes,No,3979,9769738463,74 JP Nagar Bangalore,5,False
Fried Chicken Co,American,MG Road,4.0,300,Yes,No,1437,788970246,47 Marathahalli Bangalore,6,False
Steak House,Mediterranean,Electronic City,4.7,700,Yes,Yes,1323,7042650144,15 Brigade Road Bangalore,7,False
Noodle Bar,American,Koramangala,4.4,1000,No,Yes,3313,388461013,19 Indiranagar Bangalore,-1,True
BBQ Junction,Continental,Brigade Road,4.8,2000,No,Yes,856,5216789712,24 Whitefield Bangalore,-1,True
Steak House,Fast Food,Electronic City,3.6,2000,Yes,Yes,1977,52397458,13 Brigade Road Bangalore,-1,True
Noodle Bar,Mediterranean,Indiranagar,3.7,1000,Yes,Yes,3183,1241713233,44 JP Nagar Bangalore,-1,True
Spice Garden,Mexican,Indiranagar,4.2,500,Yes,No,4031,5999820761,7 Marathahalli Bangalore,-1,True
Thai Paradise,Fast Food,Electronic City,4.9,2000,Yes,Yes,2149,4938347255,71 JP Nagar Bangalore,-1,True
BBQ Junction,Continental,BTM Layout,3.7,1500,No,No,1795,6824445082,48 Koramangala Bangalore,-1,True
Spice Garden,Japanese,Marathahalli,3.1,500,Yes,No,4458,5367395969,92 Indiranagar Bangalore,-1,True
Pizza Express,American,HSR Layout,3.9,1500,No,Yes,4038,6872386601,15 JP Nagar Bangalore,-1,True
Mediterranean Delight,American,Electronic City,4.1,300,Yes,No,4533,334406573,99 HSR Layout Bangalore,-1,True
Coffee Corner,Fast Food,Brigade Road,4.6,2000,Yes,No,1275,289612131,12 Marathahalli Bangalore,-1,True
Ice Cream Parlor,American,Koramangala,4.5,1500,No,Yes,2116,3679585208,28 Whitefield Bangalore,-1,True
Taco Bell,Continental,MG Road,4.9,1500,Yes,Yes,144,2012771516,95 Electronic City Bangalore,8,False
Mediterranean Delight,Korean,Indiranagar,4.6,300,Yes,Yes,179,9272950760,58 JP Nagar Bangalore,-1,True
Italian Bistro,American,Whitefield,3.6,500,No,Yes,3318,6410151577,31 Koramangala Bangalore,9,False
Italian Bistro,Fast Food,Whitefield,4.3,1500,Yes,No,2003,5435493588,76 Koramangala Bangalore,-1,True
Spice Garden,Korean,Marathahalli,4.3,2000,No,Yes,2357,7908427781,81 BTM Layout Bangalore,10,False
Sushi House,French,BTM Layout,5.0,500,No,No,1036,9391509216,4 Koramangala Bangalore,-1,True
Vegan Heaven,Mexican,MG Road,3.3,500,Yes,No,3160,7180121070,58 MG Road Bangalore,11,False
Thai Paradise,French,Indiranagar,3.4,1000,No,No,3622,4562679240,75 Whitefield Bangalore,-1,True
BBQ Junction,Thai,Whitefield,3.3,2000,No,Yes,866,8723005584,97 Brigade Road Bangalore,-1,True
Thai Paradise,Fast Food,Whitefield,4.2,2000,Yes,No,2650,2576920353,58 JP Nagar Bangalore,12,False
BBQ Junction,French,HSR Layout,3.3,300,Yes,No,2219,4964410397,87 MG Road Bangalore,-1,True
Mediterranean Delight,Italian,Electronic City,4.3,300,Yes,Yes,1829,2591883719,78 Koramangala Bangalore,-1,True
Pizza Express,Mediterranean,JP Nagar,4.6,700,No,No,806,1510911452,75 MG Road Bangalore,-1,True
Golden Dragon,Italian,MG Road,3.9,2000,Yes,No,1217,7192344539,86 HSR Layout Bangalore,-1,True
Spice Garden,Indian,JP Nagar,4.1,500,No,Yes,2644,6738578046,41 JP Nagar Bangalore,13,False
Seafood Shack,French,Koramangala,4.8,700,Yes,No,3154,9166286946,73 Koramangala Bangalore,-1,True
Sushi House,Fast Food,BTM Layout,4.1,2000,Yes,No,455,6537174626,22 Whitefield Bangalore,-1,True
Italian Bistro,Japanese,Electronic City,3.4,300,Yes,No,1902,8608614916,49 BTM Layout Bangalore,-1,True
Pizza Express,Chinese,Koramangala,3.7,300,No,Yes,2461,8325777451,95 Electronic City Bangalore,-1,True
Mediterranean Delight,French,Brigade Road,4.1,2000,No,No,3077,5427312112,31 BTM Layout Bangalore,14,False
Italian Bistro,Mexican,Indiranagar,3.3,700,No,Yes,4137,6909502371,40 Indiranagar Bangalore,-1,True
Spice Garden,French,JP Nagar,4.2,300,Yes,Yes,212,6205125242,70 Koramangala Bangalore,-1,True
Italian Bistro,Korean,Marathahalli,5.0,300,Yes,Yes,2861,6605260929,20 BTM Layout Bangalore,-1,True
Sushi House,Indian,Brigade Road,4.3,1000,Yes,No,4696,1778816635,73 Koramangala Bangalore,15,False
Steak House,American,MG Road,3.7,1500,Yes,No,180,504354429,84 HSR Layout Bangalore,-1,True
Curry House,Indian,Indiranagar,3.7,2000,Yes,No,3217,1697480274,84 HSR Layout Bangalore,16,False
Italian Bistro,Indian,Whitefield,4.9,1000,Yes,No,2750,1980236311,36 BTM Layout Bangalore,-1,True
Spice Garden,Mediterranean,JP Nagar,4.7,1500,Yes,Yes,3105,9068916723,65 Koramangala Bangalore,-1,True
Sushi House,Continental,Electronic City,3.9,2000,No,No,2367,8357910603,43 Brigade Road Bangalore,-1,True
Curry House,Chinese,Electronic City,3.7,1000,Yes,No,3001,4193963093,99 Electronic City Bangalore,-1,True
Thai Paradise,Indian,Brigade Road,4.4,1000,Yes,Yes,4932,5431955537,41 Marathahalli Bangalore,-1,True
BBQ Junction,Continental,Brigade Road,3.6,2000,No,No,2462,977488931,75 Electronic City Bangalore,-1,True
Steak House,Mediterranean,BTM Layout,3.2,500,Yes,Yes,1983,776229771,67 BTM Layout Bangalore,-1,True
Steak House,American,Whitefield,3.6,700,Yes,Yes,3555,2077837,48 Electronic City Bangalore,-1,True
Vegan Heaven,Italian,HSR Layout,3.9,2000,No,Yes,2708,6302771603,70 Brigade Road Bangalore,-1,True
Noodle Bar,Fast Food,JP Nagar,3.5,1000,Yes,Yes,3182,6336045666,85 Whitefield Bangalore,17,False
Ice Cream Parlor,American,Koramangala,3.4,500,No,No,3029,1586616821,73 Indiranagar Bangalore,-1,True
Thai Paradise,Continental,MG Road,3.0,1000,Yes,Yes,1396,5109389225,84 Brigade Road Bangalore,-1,True
Taco Bell,Japanese,JP Nagar,4.3,700,No,Yes,3850,5795776430,83 HSR Layout Bangalore,-1,True
Bakery Sweet,Indian,JP Nagar,4.2,500,Yes,No,2686,5736246886,90 Koramangala Bangalore,-1,True
Burger Palace,Continental,Whitefield,3.4,2000,No,Yes,94,3532847280,61 Indiranagar Bangalore,-1,True
Sushi House,Indian,JP Nagar,4.9,1500,Yes,Yes,396,1318613518,14 Whitefield Bangalore,-1,True
Thai Paradise,Italian,BTM Layout,3.8,700,No,No,4859,2134322225,24 JP Nagar Bangalore,-1,True
Noodle Bar,Mexican,JP Nagar,3.1,300,Yes,Yes,3843,3663086548,67 Brigade Road Bangalore,-1,True
Steak House,Indian,Marathahalli,3.4,2000,Yes,No,4792,8957601893,45 Whitefield Bangalore,-1,True
Coffee Corner,Continental,Marathahalli,4.4,2000,Yes,No,2466,2176820844,92 Koramangala Bangalore,-1,True
Burger Palace,Fast Food,Indiranagar,3.4,2000,No,Yes,4503,2770358169,44 Koramangala Bangalore,-1,True
Noodle Bar,Chinese,MG Road,3.1,500,No,No,2592,939622372,65 Marathahalli Bangalore,-1,True
Thai Paradise,Fast Food,Marathahalli,4.2,300,Yes,Yes,109,7987783270,73 Electronic City Bangalore,-1,True
Ice Cream Parlor,Thai,MG Road,4.0,500,Yes,No,2395,9039291842,65 Brigade Road Bangalore,-1,True
Golden Dragon,Indian,Electronic City,4.5,1500,No,No,4376,8739447625,95 Marathahalli Bangalore,-1,True
Vegan Heaven,Thai,BTM Layout,4.5,500,No,Yes,2894,5106247444,75 JP Nagar Bangalore,-1,True
Noodle Bar,American,Whitefield,4.9,2000,No,Yes,3816,6103460893,30 Indiranagar Bangalore,-1,True
Mexican Fiesta,French,Whitefield,3.1,1000,No,No,497,5083475929,24 MG Road Bangalore,-1,True
Pizza Express,Mexican,Marathahalli,3.1,300,No,Yes,2465,7514238247,38 Koramangala Bangalore,-1,True
Pizza Express,Mediterranean,BTM Layout,5.0,300,No,Yes,4128,8638113124,27 JP Nagar Bangalore,-1,True
Bakery Sweet,Korean,Electronic City,4.3,500,Yes,Yes,4699,2025282224,87 Koramangala Bangalore,-1,True
Coffee Corner,Mexican,Koramangala,4.4,1000,Yes,No,3085,6485082727,34 Electronic City Bangalore,-1,True
Thai Paradise,Fast Food,BTM Layout,3.2,1000,Yes,Yes,2374,3056750482,54 Indiranagar Bangalore,-1,True
Spice Garden,Continental,Indiranagar,3.1,500,No,No,4976,4543149007,99 Indiranagar Bangalore,-1,True
Spice Garden,Korean,Whitefield,3.3,700,No,No,4107,3014649562,7 Koramangala Bangalore,-1,True
Bakery Sweet,American,Indiranagar,3.9,1500,Yes,No,87,9475181519,60 HSR Layout Bangalore,-1,True
Noodle Bar,Mexican,Whitefield,3.2,500,Yes,Yes,1280,6037892873,72 BTM Layout Bangalore,-1,True
BBQ Junction,Mediterranean,Electronic City,3.9,2000,No,Yes,338,946444253,91 Marathahalli Bangalore,-1,True
Italian Bistro,Korean,JP Nagar,4.1,1000,Yes,Yes,4847,9135587492,91 Electronic City Bangalore,-1,True
Thai Paradise,Italian,HSR Layout,3.0,1500,Yes,Yes,2431,3408374417,9 Indiranagar Bangalore,-1,True
Mexican Fiesta,Chinese,BTM Layout,3.2,500,No,Yes,253,9615879263,6 JP Nagar Bangalore,-1,True
Mediterranean Delight,Mexican,BTM Layout,3.8,1500,Yes,Yes,1093,3660051211,2 MG Road Bangalore,-1,True
BBQ Junction,American,JP Nagar,3.1,700,Yes,No,1670,7752464696,9 MG Road Bangalore,-1,True
Sushi House,Indian,Koramangala,3.3,1000,No,No,3009,3995839073,49 BTM Layout Bangalore,18,False
Spice Garden,Mediterranean,Whitefield,3.5,700,No,Yes,2493,7870847562,70 MG Road Bangalore,-1,True
Ice Cream Parlor,Korean,Koramangala,3.9,700,No,No,3886,8891330321,75 Koramangala Bangalore,19,False
Vegan Heaven,Korean,BTM Layout,4.4,1000,No,No,3173,5298877153,1 Marathahalli Bangalore,20,False
Pizza Express,Chinese,Marathahalli,3.3,2000,Yes,No,3781,9119607497,99 Indiranagar Bangalore,-1,True
Steak House,Korean,Marathahalli,4.5,700,Yes,Yes,3307,1015378845,10 Koramangala Bangalore,-1,True
BBQ Junction,Thai,Brigade Road,4.7,500,No,No,3806,6392193840,53 BTM Layout Bangalore,-1,True
Bakery Sweet,Japanese,MG Road,4.3,500,No,No,4498,4595474922,20 JP Nagar Bangalore,-1,True
Taco Bell,Thai,Marathahalli,3.1,1500,No,No,1187,3978618555,42 JP Nagar Bangalore,-1,True
Taco Bell,Korean,Marathahalli,3.9,500,Yes,Yes,2611,856042813,19 Indiranagar Bangalore,-1,True
Bakery Sweet,Mediterranean,Whitefield,4.3,500,Yes,No,595,2820700683,75 Indiranagar Bangalore,21,False
Pizza Express,Mexican,Brigade Road,5.0,1500,Yes,Yes,4427,9344189888,91 JP Nagar Bangalore,-1,True
Thai Paradise,American,Whitefield,4.9,300,No,Yes,722,773900029,49 Whitefield Bangalore,-1,True
Golden Dragon,Indian,BTM Layout,3.8,1000,No,Yes,809,2318989612,93 MG Road Bangalore,22,False
Italian Bistro,Mexican,Indiranagar,4.2,500,Yes,Yes,1394,7838316817,84 BTM Layout Bangalore,-1,True
Taco Bell,Italian,Koramangala,4.8,1500,Yes,No,569,5840496639,72 HSR Layout Bangalore,-1,True
Sushi House,Mexican,BTM Layout,4.7,700,No,No,4255,5599046470,77 Brigade Road Bangalore,-1,True
Taco Bell,Mexican,Indiranagar,4.0,700,No,No,3665,8174966072,8 Koramangala Bangalore,-1,True
Taco Bell,American,Electronic City,3.5,2000,No,No,4825,3216946091,55 HSR Layout Bangalore,-1,True
Taco Bell,Chinese,Electronic City,3.3,500,No,No,1651,5529023062,19 Brigade Road Bangalore,-1,True
Golden Dragon,Korean,Whitefield,4.0,1000,No,No,3664,7657819894,33 Indiranagar Bangalore,-1,True
Golden Dragon,Chinese,HSR Layout,4.4,1500,No,No,1872,65980999,24 JP Nagar Bangalore,-1,True
Sushi House,Italian,HSR Layout,4.9,2000,No,No,2074,9679302125,97 MG Road Bangalore,-1,True
Spice Garden,French,Indiranagar,4.7,2000,No,Yes,1234,9293051344,49 MG Road Bangalore,-1,True
Spice Garden,Indian,Marathahalli,3.4,1500,Yes,Yes,3823,3232238873,67 Brigade Road Bangalore,-1,True
Ice Cream Parlor,Thai,Whitefield,4.4,1500,Yes,No,429,1857375558,3 Koramangala Bangalore,-1,True
Golden Dragon,Indian,Indiranagar,3.6,1500,Yes,Yes,2177,40983128,53 BTM Layout Bangalore,-1,True
Pizza Express,Continental,Whitefield,4.4,1500,No,Yes,1344,7273534981,1 BTM Layout Bangalore,23,False
Mexican Fiesta,Korean,Indiranagar,4.3,1000,Yes,Yes,665,8246130251,27 Electronic City Bangalore,24,False
Burger Palace,Continental,Electronic City,3.5,1500,Yes,No,485,7620933421,99 Brigade Road Bangalore,-1,True
Coffee Corner,Continental,Brigade Road,3.5,1000,Yes,Yes,3199,1760822039,98 JP Nagar Bangalore,-1,True
Taco Bell,Indian,Whitefield,3.2,1000,No,Yes,1597,1202352517,51 Koramangala Bangalore,25,False
Mexican Fiesta,Japanese,Brigade Road,3.1,1000,No,No,4940,4052397774,90 Koramangala Bangalore,-1,True
Sushi House,Thai,Electronic City,4.7,700,No,No,1184,887256396,31 Electronic City Bangalore,-1,True
Bakery Sweet,Italian,HSR Layout,3.1,300,Yes,No,501,8515262742,28 BTM Layout Bangalore,-1,True
Golden Dragon,Korean,JP Nagar,3.2,2000,Yes,Yes,4405,499239325,16 Marathahalli Bangalore,-1,True
Mexican Fiesta,Mediterranean,Koramangala,3.5,500,No,Yes,2755,5030665132,84 Brigade Road Bangalore,-1,True
Coffee Corner,Italian,BTM Layout,4.8,700,Yes,No,761,7191082760,9 Marathahalli Bangalore,-1,True
Seafood Shack,Japanese,Koramangala,3.7,300,Yes,No,3739,5758925939,32 MG Road Bangalore,-1,True
Seafood Shack,Thai,Koramangala,3.4,2000,No,No,2028,2766405524,65 MG Road Bangalore,-1,True
Spice Garden,Fast Food,BTM Layout,4.4,700,No,No,4010,8678549443,65 Brigade Road Bangalore,-1,True
BBQ Junction,American,Electronic City,3.6,2000,No,No,3847,1667778531,97 Indiranagar Bangalore,-1,True
Mexican Fiesta,Japanese,Electronic City,3.7,1000,No,Yes,2749,4565336029,24 Brigade Road Bangalore,26,False
Seafood Shack,Italian,HSR Layout,4.5,1000,No,No,216,1164288212,66 Koramangala Bangalore,27,False
Italian Bistro,Korean,JP Nagar,3.5,1500,No,Yes,4638,8723431814,94 Marathahalli Bangalore,-1,True
Bakery Sweet,French,MG Road,4.8,1000,No,No,2169,8702982326,57 BTM Layout Bangalore,-1,True
Burger Palace,Korean,Koramangala,4.1,700,No,Yes,2596,8381186448,18 HSR Layout Bangalore,28,False
Ice Cream Parlor,Thai,Marathahalli,4.1,2000,No,Yes,1158,3052138761,28 Marathahalli Bangalore,-1,True
Italian Bistro,French,Koramangala,3.5,500,No,No,1890,694749478,79 Indiranagar Bangalore,29,False
Ice Cream Parlor,Chinese,MG Road,4.7,2000,No,Yes,2988,1767236465,35 JP Nagar Bangalore,-1,True
Bakery Sweet,Thai,Whitefield,4.1,1000,No,Yes,2904,3155505194,78 Electronic City Bangalore,-1,True
Thai Paradise,Thai,HSR Layout,3.3,2000,Yes,No,3264,6904821912,66 Indiranagar Bangalore,-1,True
Bakery Sweet,Continental,Brigade Road,3.4,300,No,Yes,940,157314242,2 Brigade Road Bangalore,-1,True
BBQ Junction,Japanese,Brigade Road,3.9,2000,Yes,Yes,1384,3461555624,88 Indiranagar Bangalore,-1,True
Spice Garden,Korean,MG Road,4.6,700,Yes,Yes,3490,8868260622,11 Brigade Road Bangalore,-1,True
Mediterranean Delight,Fast Food,Koramangala,4.9,300,Yes,No,1769,6730493823,60 HSR Layout Bangalore,-1,True
Thai Paradise,Continental,Brigade Road,4.3,1500,No,No,2910,9226443970,61 Koramangala Bangalore,-1,True
Fried Chicken Co,Italian,MG Road,4.0,1500,No,Yes,1020,8840115982,83 Koramangala Bangalore,-1,True
Mediterranean Delight,American,BTM Layout,3.5,2000,No,Yes,3562,7143430057,65 Koramangala Bangalore,-1,True
Spice Garden,Indian,Electronic City,4.3,500,No,No,116,6347575739,28 Brigade Road Bangalore,-1,True
Coffee Corner,Mexican,Indiranagar,5.0,700,Yes,No,3895,1243400117,27 Brigade Road Bangalore,-1,True
Fried Chicken Co,American,Electronic City,4.0,500,Yes,Yes,887,9351063318,12 BTM Layout Bangalore,-1,True
Vegan Heaven,Indian,Koramangala,3.3,300,No,Yes,976,1452254448,97 Koramangala Bangalore,-1,True
Italian Bistro,Chinese,MG Road,3.2,500,No,Yes,3655,7354575516,39 Marathahalli Bangalore,-1,True
Thai Paradise,Italian,Whitefield,3.5,300,No,No,390,2643907197,61 BTM Layout Bangalore,30,False
Seafood Shack,Korean,Brigade Road,4.1,500,No,Yes,3799,6260411261,81 Electronic City Bangalore,-1,True
Seafood Shack,Mediterranean,Brigade Road,4.9,1500,Yes,Yes,151,3306302730,51 JP Nagar Bangalore,31,False
Bakery Sweet,Thai,Brigade Road,3.6,700,No,Yes,3435,6748638571,55 Indiranagar Bangalore,-1,True
Taco Bell,Continental,MG Road,3.6,500,Yes,No,1183,4247506900,46 JP Nagar Bangalore,-1,True
Golden Dragon,Fast Food,Electronic City,4.0,2000,No,Yes,2439,3879250905,14 Electronic City Bangalore,-1,True
Spice Garden,American,Whitefield,4.8,300,No,Yes,877,4584101705,94 Brigade Road Bangalore,-1,True
Seafood Shack,Indian,MG Road,3.8,2000,No,Yes,2776,4983441182,90 Whitefield Bangalore,-1,True
Pizza Express,Mediterranean,Koramangala,3.4,700,No,No,2231,5334466053,80 Marathahalli Bangalore,-1,True
Sushi House,American,HSR Layout,3.3,2000,No,Yes,434,1561196822,32 Marathahalli Bangalore,-1,True
Sushi House,Italian,Koramangala,3.9,1500,No,Yes,647,7186782570,7 Koramangala Bangalore,-1,True
BBQ Junction,Korean,Indiranagar,4.6,1500,Yes,No,58,5278416550,88 HSR Layout Bangalore,-1,True
BBQ Junction,French,HSR Layout,3.6,1000,Yes,Yes,4281,553785977,43 Brigade Road Bangalore,-1,True
Italian Bistro,American,Koramangala,4.0,700,No,No,1363,1300564783,65 Koramangala Bangalore,-1,True
Ice Cream Parlor,American,Whitefield,4.2,500,Yes,No,1028,501335725,21 Marathahalli Bangalore,-1,True
Seafood Shack,Korean,JP Nagar,3.9,1500,No,No,3773,2133128989,90 HSR Layout Bangalore,-1,True
Seafood Shack,Fast Food,JP Nagar,3.4,500,Yes,No,2140,6147005662,30 Brigade Road Bangalore,-1,True
Italian Bistro,Continental,JP Nagar,4.8,500,No,No,3226,9389345646,26 MG Road Bangalore,-1,True
Bakery Sweet,Fast Food,Indiranagar,4.1,300,Yes,No,1897,1649458344,43 Koramangala Bangalore,-1,True
Spice Garden,Chinese,Indiranagar,4.5,2000,No,Yes,3152,2203819388,99 Brigade Road Bangalore,32,False
Bakery Sweet,Fast Food,JP Nagar,4.3,500,Yes,No,3803,7125120350,61 Electronic City Bangalore,33,False
Coffee Corner,Japanese,BTM Layout,5.0,1000,Yes,Yes,3794,766643628,52 Marathahalli Bangalore,-1,True
Taco Bell,American,Brigade Road,3.9,700,No,No,1838,1075398400,57 Electronic City Bangalore,-1,True
Mediterranean Delight,Korean,HSR Layout,3.8,700,No,Yes,1292,6056942210,30 Indiranagar Bangalore,-1,True
Burger Palace,Fast Food,HSR Layout,3.7,300,No,Yes,2057,7813233722,38 JP Nagar Bangalore,34,False
Mexican Fiesta,Japanese,Brigade Road,3.7,1000,No,No,162,5243318446,23 HSR Layout Bangalore,35,False
