brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url
Samsung,M580 Replenish,None,CDMA 800 / 1900 ,CDMA2000 1x ,None,EV-DO Rev.0  153.2 Kbps,No,No,2011  April,Available. Released 2011  May 8th,None,116,4.09,Mini-SIM,TFT touchscreen   256K colors,2.8 inches (~32.9% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),None,600 MHz,Qualcomm MSM7627-2,None,microSD  up to 32 GB (dedicated slot)  2 GB included,None,256 MB RAM,2 MP,No,Yes,None,Wi-Fi 802.11 b/g| hotspot (charges may apply),2.1| A2DP,None,,None,microUSB 2.0,None,Removable Li-Ion 1160 mAh battery,Black| Blue| Raspberry Pink,80.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-replenish.jpg
Pantech,G500,GSM,GSM 900 / 1800 ,None,,None,Class 8,No,2004,Discontinued,85 x 41 x 22 mm (3.35 x 1.61 x 0.87 in),90,3.17,Mini-SIM,TFT  256K colors,None,128 x 160 pixels| 8 lines,None,None,None,None,No,2.5 MB,None,VGA| LED flash,No,No,None,No,None,No,,No,None,None,Removable Li-Ion battery,Red| Silver| Pearl White,None,http://cdn2.gsmarena.com/vv/bigpic/pthg500.gif
ZTE,Blade L5 Plus,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,,None,Yes,Yes,2016  April,Available. Released 2016  April,143 x 72 x 8.3 mm (5.63 x 2.83 x 0.33 in),160,5.64,Dual SIM,None,5.0 inches (~66.9% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6580,Mali-400MP2,None,8 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP| LE,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2150 mAh battery,Gray| White,90.0,http://cdn2.gsmarena.com/vv/bigpic/zte-blade-l5-plus-r.jpg
verykool,T7445,None,GSM 850 / 900 / 1800 / 1900 - SIM1 & SIM 2,HSDPA 850 / 1900 ,,HSPA 21.1/5.76 Mbps,Yes,Yes,2017  June,Available. Released 2017  June,189.8 x 109.7 x 10.6 mm (7.47 x 4.32 x 0.42 in),275,6.17,Dual SIM (Mini-SIM| Micro-SIM),TFT capacitive touchscreen  16M colors,7.0 inches (~66.2% screen-to-body ratio),600 x 1024 pixels (~170 ppi pixel density),Android 7.0 (Nougat),Quad-core 1.3 GHz Cortex-A7,Mediatek MT8321,Mali-400,microSD  up to 64 GB,8 GB,1 GB RAM,5 MP| f/2.4| LED flash,2 MP| LED flash,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,None,None,,FM radio,microUSB 2.0,Accelerometer,None,Black,None,http://cdn2.gsmarena.com/vv/bigpic/verykool-t7445.jpg
None,None,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,LTE band 1(2100)| 3(1800)| 5(850)| 7(2600)| 8(900)| 20(800),HSPA  LTE Cat4 150/50 Mbps,Yes,Yes,2014  September,Available. Released 2014  November,144.5 x 77 x 12.7 mm (5.69 x 3.03 x 0.5 in),185,6.53,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,4.7 inches (~54.7% screen-to-body ratio),720 x 1280 pixels (~312 ppi pixel density),Android 4.4 (KitKat),Quadcore 1.2 GHz Cortex-A7,Qualcomm MSM8926 Snapdragon 400,Adreno 305,microSD  up to 64 GB (dedicated slot),8 GB,2 GB RAM,8 MP| autofocus| LED flash,None,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP| LE,Yes with A-GPS GLONASS,Yes,FM radio,microUSB 2.0| USB Host,Accelerometer| proximity| compass,Non-removable Li-Ion 2630 mAh battery,Forest| Slate,460.0,http://cdn2.gsmarena.com/vv/bigpic/cat-s50.jpg
None,None,GSM,GSM 900 / 1800 / 1900 ,None,,None,Class 10,No,2004  1Q,Discontinued,118 x 52 x 17 mm (4.65 x 2.05 x 0.67 in),150,5.29,Mini-SIM,TFT resistive touchscreen  65K colors,None,208 x 320 pixels,None,144 MHz,TI OMAP V1030,None,SD/MMC,None,None,1.3 MP,No,Yes,No,No,1.1,No,,None,Yes,None,Removable Li-Ion battery,None,None,http://cdn2.gsmarena.com/vv/bigpic/bqp31.gif
Micromax,A90s,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 7.2/5.76 Mbps,None,Class 12,2012  Q3,Available. Released 2012  November,127.2 x 66.8 x 9.8 mm (5.01 x 2.63 x 0.39 in),118.4,4.16,Dual SIM (Mini-SIM),Super AMOLED capacitive touchscreen  256K colors,4.3 inches (~61.9% screen-to-body ratio),480 x 800 pixels (~217 ppi pixel density),Android 4.0.3 (Ice Cream Sandwich),None,Mediatek MT6577,PowerVR SGX531u,microSD  up to 32 GB (dedicated slot),4 GB (2 GB user available),512 MB RAM,8 MP| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 1600 mAh battery,Black,190.0,http://cdn2.gsmarena.com/vv/bigpic/micromax-a90s.jpg
None,U400,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,Yes  384 kbps,Yes,Yes,None,Discontinued,99.8 x 48 x 20.4 mm (3.93 x 1.89 x 0.80 in),114,4.02,Mini-SIM,TFT  256K colors,2.0 inches (~25.9% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),None,None,None,None,microSD (dedicated slot),None,,2 MP,None,Yes,No,No,2.0| A2DP,No,,No,Yes,None,Removable Li-Ion battery,Black| Silver,None,http://cdn2.gsmarena.com/vv/bigpic/lg-u400.gif
Samsung,Xcover 271,GSM / UMTS,GSM 850 / 900 / 1800 / 1900 ,None,,None,Class 10,Class 10,2010  September. Released 2010  October,Discontinued,120.7 x 53 x 17.9 mm (4.75 x 2.09 x 0.70 in),115,4.06,Mini-SIM,TFT  256K colors,2.0 inches (~19.4% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),None,,None,,microSD (dedicated slot),30 MB,,2 MP,No,Yes,No,No,2.0| A2DP,None,,None,Yes,Compass,Removable Li-Ion 1300 mAh battery,Black| Blue,110.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-b2710-ofic.jpg
LG,None,GSM / HSPA / LTE,None,None,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 17(700)| 20(800)| 28(700)| 38(2600)| 40(2300) - H840,HSPA 42.2/5.76 Mbps  LTE Cat6 300/50 Mbps,Yes,Yes,2016  April,Available. Released 2016  June,149.4 x 73.9 x 7.3 mm (5.88 x 2.91 x 0.29 in),156,5.5,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.3 inches (~70.1% screen-to-body ratio),1440 x 2560 pixels (~554 ppi pixel density),Android 6.0.1 (Marshmallow)| upgradable to 7.0 (Nougat),Octa-core (4x1.8 GHz Cortex-A72 & 4x1.2 GHz Cortex-A53),Qualcomm MSM8976 Snapdragon 652,Adreno 510,microSD  up to 256 GB (dedicated slot),32 GB,3 GB RAM,Dual 16 MP (f/1.8) + 8 MP (f/2.4)| laser autofocus| OIS (3-axis)| LED flash,8 MP| f/2.0| 1080p@30fps,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| Wi-Fi Direct| DLNA| hotspot,4.2| A2DP| LE| aptX,Yes with A-GPS GLONASS,Yes,FM radio,None,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass| barometer| color spectrum,Removable Li-Ion 2800 mAh battery,Silver| Titan| Gold,350.0,http://cdn2.gsmarena.com/vv/bigpic/lg-g5.jpg
Mitsubishi,M342i,GSM,GSM 900 / 1800 ,None,,,Class 8,No,2004  1Q,Discontinued,107 x 47 x 19 mm| 85 cc (4.21 x 1.85 x 0.75 in),None,None,Mini-SIM,TFT  256K colors,None,128 x 160 pixels,,,None,,No,5 MB,,VGA,No,Yes,No,No,No,No,,None,None,,Removable Li-Ion battery,None,,http://cdn2.gsmarena.com/vv/bigpic/mim342i.gif
Bird,S663,GSM,GSM 900 / 1800 ,,,,No,No,2007,Discontinued,105.3 x 44 x 15.8 mm (4.15 x 1.73 x 0.62 in),80,2.82,Mini-SIM,CSTN  65K colors,None,128 x 128 pixels (~121 ppi pixel density),,,,,No,None,,None,None,Yes,No,No,No,No,,No,No,,Removable Li-Ion 700 mAh battery,Black| White,,None
Celkon,A66,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,Yes,2014,None,136 x 67.2 x 11 mm (5.35 x 2.65 x 0.43 in),98,3.46,Dual SIM,TFT capacitive touchscreen,4.5 inches (~61.1% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 4.1.2 (Jelly Bean),Dual-core 1.2 GHz,,,microSD  up to 32 GB,4 GB,512 MB RAM,3.15 MP| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,Yes,,FM radio,microUSB,Accelerometer| proximity,None,White| Black,,http://cdn2.gsmarena.com/vv/bigpic/celkon-a66.jpg
None,Pixi 4 (4),GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 21.1/5.76 Mbps,Yes,Yes,2016  January,Available. Released 2016  Q3,121.3 x 64.4 x 9.7 mm (4.78 x 2.54 x 0.38 in),None,None,Micro-SIM,TFT capacitive touchscreen  16M colors,None,None,Android 6.0 (Marshmallow),,Mediatek MT6580M,Mali-400MP2,microSD  up to 32 GB (dedicated slot),None,512 MB RAM,2 MP or 5 MP| LED flash,VGA or 2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer,Removable Li-Ion 1500 mAh battery,Various,60.0,None
Allview,X3 Soul Pro,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 1900 / 2100 ,LTE band 1(2100)| 3(1800)| 7(2600)| 20(800)| 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA 21.1/5.76 Mbps  LTE Cat6 300/50 Mbps,Yes,Yes,None,Available. Released 2016  February,154.3 x 74.9 x 7 mm (6.07 x 2.95 x 0.28 in),144,5.08,Dual SIM (Micro-SIM/Nano-SIM| dual stand-by),AMOLED capacitive touchscreen  16M colors,5.5 inches (~72.2% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 6.0 (Marshmallow),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mediatek MT6755 Helio P10,Mali-T860MP2,microSD  up to 256 GB (uses SIM 2 slot),64 GB,4 GB RAM,16 MP| f/1.8| autofocus| LED flash,8 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP| EDR,Yes with A-GPS,,FM radio,2.0| Type-C 1.0 reversible connector,Fingerprint (front-mounted)| accelerometer| proximity| compass,Non-removable Li-Po 3000 mAh battery,Gold| Silver,450.0,http://cdn2.gsmarena.com/vv/bigpic/allview-x3-soul-pro.jpg
Apple,Watch 38mm,No cellular connectivity, N/A,,,,No,No,2014  September,Available. Released 2015  May,38.6 x 33.3 x 10.5 mm (1.52 x 1.31 x 0.41 in),40,2.72,No,AMOLED capacitive touchscreen  16M colors,1.5 inches (~55.1% screen-to-body ratio),340 x 272 pixels (~290 ppi pixel density),watchOS 1.0| upgradable to 3.2.2,520 MHz,Apple S1,PowerVR SGX543,No,8 GB,512 MB RAM,None,None,Yes,None,Wi-Fi 802.11 b/g/n,4.0| LE,None,Yes,No,None,Accelerometer| gyro| heart rate,Non-removable Li-Ion 205 mAh battery (0.78 Wh),Stainless Steel/Red| White| Brown/Black/Blue/Red/Marigold/Jay Buckle| Blue/Stone Leather Loop| Silver/Space Black Milanese Loop| Link Bracelet| Space Black Stainless Steel/Black| Black Link Bracelet| Pearl Woven Nylon,650.0,http://cdn2.gsmarena.com/vv/bigpic/apple-watch-38mm.jpg
Orange,Rio,GSM,GSM 900 / 1800 ,,,,Class 12,Yes,2011,Available. Released 2011,107 x 61 x 12 mm (4.21 x 2.40 x 0.47 in),90,3.17,Mini-SIM,TFT resistive touchscreen  256K colors,2.4 inches (~27.3% screen-to-body ratio),320 x 240 pixels (~167 ppi pixel density),,,,,microSD  up to 16 GB (dedicated slot),6 MB,,2 MP,No,Yes,Yes,No,Yes,None,,FM radio,miniUSB 2.0,,None,Black| Pink,,http://cdn2.gsmarena.com/vv/bigpic/orange-rio.jpg
LG,Motion 4G MS770,CDMA / EVDO / LTE,CDMA 800 / 1700 / 1900 / 2100 ,CDMA2000 1xEV-DO ,LTE band 4(1700/2100),EV-DO Rev.A 3.1 Mbps  LTE,No,No,2012  August,Available. Released 2012  August,111 x 61 x 11.7 mm (4.37 x 2.40 x 0.46 in),132,4.66,Micro-SIM,TFT capacitive touchscreen  16M colors,3.5 inches (~53.9% screen-to-body ratio),320 x 480 pixels (~165 ppi pixel density),Android 4.0 (Ice Cream Sandwich),Dual-core 1.2 GHz Krait,Qualcomm MSM8960L Snapdragon S4 Plus,Adreno 225,microSD  up to 32 GB (dedicated slot),8 GB (5 GB user available),1 GB RAM,5 MP| autofocus| LED flash,VGA,Yes,Yes,None,4.0| A2DP,Yes with A-GPS,,No,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 1700 mAh battery,Black,110.0,http://cdn2.gsmarena.com/vv/bigpic/lg-motion-4g.jpg
Lava,Icon,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA,Yes,Yes,None,Available. Released 2015  April,143.4 x 70.6 x 7.7 mm (5.65 x 2.78 x 0.30 in),143,5.04,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen,5.0 inches (~68.1% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,,,microSD  up to 32 GB,16 GB,2 GB RAM,13 MP| autofocus| dual-LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0| USB Host,Accelerometer| proximity,Non-removable Li-Po 2500 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/lava-icon.jpg
Sagem,my215x,GSM,GSM 900 / 1800 ,,,,No,None,2007  January,Discontinued,103 x 44.5 x 15 mm (4.06 x 1.75 x 0.59 in),69,2.43,Mini-SIM,CSTN  65K colors,None,128 x 128 pixels,,,,,No,256 MB,,None,None,No,No,No,No,No,,None,Yes,,Removable Li-Ion 680 mAh battery,None,80.0,http://cdn2.gsmarena.com/vv/bigpic/sagem-my215x.gif
ZTE,N290,GSM,GSM 900 / 1800 ,,,,Yes,Yes,2010. Released 2010,None,None,106,3.74,Mini-SIM,None,3.2 inches (~47.3% screen-to-body ratio),240 x 400 pixels (~146 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),20 MB,,3.2 MP,2 MP,Yes,No,No,2.0| A2DP,No,,FM radio,Yes,,Removable Li-Ion 1500 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/zte-n290.jpg
None,None,GSM,GSM 900 / 1800 ,,,,9600 bps,No,2001,None,97 x 42 x 20 mm| 71 cc (3.82 x 1.65 x 0.79 in),75,2.65,Mini-SIM,None,None,96 x 64 pixels| 6 x 20 chars,,,,,No,None,,None,None,No,No,No,No,None,,No,None,,Removable Li-Ion 600 mAh battery,None,,http://cdn2.gsmarena.com/vv/bigpic/alot511.gif
Celkon,Q405,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2, HSDPA,,HSPA,Yes,Yes,2015  May,Available. Released 2015  May,124 x 64.2 x 9.9 mm (4.88 x 2.53 x 0.39 in),137,4.83,Dual SIM,Capacitive touchscreen,4.0 inches (~57.2% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 4.4 (KitKat),Quad-core 1.2 GHz,Spreadtrum 7731,,microSD  up to 32 GB,4 GB,512 MB RAM,3.15 MP| LED flash,1.3 MP,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,Yes,,FM radio,microUSB,Accelerometer| proximity,Li-Ion 1500 mAh battery,Black| White| Gold| Blue,,http://cdn2.gsmarena.com/vv/bigpic/celkon-q405.jpg
None,DEFY XT535,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 2100 ,,HSPA 7.2/5.76 Mbps,Class 12,None,2012  March,None,115 x 58.5 x 12 mm (4.53 x 2.30 x 0.47 in),115,4.06,Mini-SIM,None,3.7 inches (~56.1% screen-to-body ratio),480 x 854 pixels (~265 ppi pixel density),Android 2.3.7 (Gingerbread),1.0 GHz Cortex-A5,Qualcomm MSM7227A-0 AA Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot),1 GB,512 MB RAM,5 MP| autofocus| LED flash,None,None,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| DLNA| hotspot,3.0| A2DP,Yes with A-GPS,,None,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 1650 mAh battery,Brown| White,130.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-defy-xt535.jpg
Celkon,C63,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,2013  September,Available. Released 2013  September,-,None,None,Dual SIM (Mini-SIM),TFT,2.6 inches,240 x 320 pixels (~154 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,Yes,No,Yes,Yes,No,Yes,No,,FM radio,Yes,,Removable Li-Ion 1400 mAh battery,Black,20.0,http://cdn2.gsmarena.com/vv/bigpic/celkon-c63.jpg
Nokia,9500,GSM,GSM 900 / 1800 / 1900 ,,,,None,Class 6,1Q  2004,Discontinued,148 x 57 x 24 mm (5.83 x 2.24 x 0.94 in),230,8.11,Mini-SIM,TFT  65K colors,4.5 inches| 110 x 35 mm (~44.1% screen-to-body ratio),640 x 200 pixels (~149 ppi pixel density),,150 MHz ARM925T,TI OMAP 1510,,MMC,80 MB,,VGA,No,None,No,None,1.1,No,,No,Pop-Port,,Removable Li-Ion 1300 mAh battery (BP-5L),Tin Grey,430.0,http://cdn2.gsmarena.com/vv/bigpic/no9500.gif
LG,B2000,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2005  1Q,Discontinued,104 x 43 x 15.9 mm (4.09 x 1.69 x 0.63 in),73,None,Mini-SIM,CSTN  65K colors,1.5 inches (~16.2% screen-to-body ratio),128 x 128 pixels (~121 ppi pixel density),,,,,No,,,None,,No,No,No,None,No,,FM radio,None,,Removable Li-Ion 780 mAh battery,None,,None
None,C356,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,No,No,2013  February,Available. Released 2013  February,-,None,None,None,None,1.8 inches,176 x 220 pixels (~157 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,Yes,No,Yes,None,No,Yes,No,,None,Yes,,Removable Li-Ion 1100 mAh battery,Black/Red| Black/Yellow| White,10.0,http://cdn2.gsmarena.com/vv/bigpic/celkon-c356.jpg
