restaurant_name,cuisine,area,rating,cost_for_two,online_order,book_table,votes,phone,address
Steak House,Fast Food,BTM Layout,4.9,300,No,Yes,2320,7375050704,30 Brigade Road Bangalore
Burger Palace,Mexican,Electronic City,4.4,1000,No,Yes,54,7926004871,9 MG Road Bangalore
Steak House,Fast Food,JP Nagar,3.5,2000,No,Yes,2403,339522426,75 Marathahalli Bangalore
Seafood Shack,Chinese,JP Nagar,5.0,300,Yes,Yes,3087,6038572537,92 Electronic City Bangalore
Burger Palace,Fast Food,Marathahalli,4.8,500,No,Yes,4866,3418201494,12 BTM Layout Bangalore
Noodle Bar,French,Whitefield,4.6,500,Yes,No,3688,1999333173,24 Marathahalli Bangalore
Coffee Corner,American,Brigade Road,3.3,500,No,Yes,1377,7479561547,51 MG Road Bangalore
Fried Chicken Co,American,HSR Layout,3.9,2000,Yes,Yes,2790,2532988984,31 Brigade Road Bangalore
Golden Dragon,Japanese,Marathahalli,4.9,700,No,Yes,2150,5258538557,18 Marathahalli Bangalore
Noodle Bar,American,BTM Layout,4.6,2000,Yes,Yes,3127,4552380873,78 BTM Layout Bangalore
Golden Dragon,Continental,HSR Layout,3.0,2000,No,No,1348,563655221,71 Marathahalli Bangalore
BBQ Junction,American,Indiranagar,3.2,700,No,Yes,2832,5729069413,84 JP Nagar Bangalore
Steak House,Continental,Koramangala,4.0,500,No,Yes,451,2152209743,51 HSR Layout Bangalore
Burger Palace,American,Koramangala,4.7,500,Yes,No,2961,420679831,6 JP Nagar Bangalore
Thai Paradise,Italian,Whitefield,4.2,500,No,Yes,4588,3360683131,54 Marathahalli Bangalore
Mexican Fiesta,Mexican,Whitefield,4.7,500,No,No,115,4988457653,15 Indiranagar Bangalore
Thai Paradise,Italian,Koramangala,4.0,2000,Yes,No,3920,908607145,72 Marathahalli Bangalore
Sushi House,Japanese,Brigade Road,4.0,1500,Yes,No,4057,4950504459,40 Electronic City Bangalore
Fried Chicken Co,French,BTM Layout,3.1,700,No,No,1178,5551724868,27 Brigade Road Bangalore
Steak House,French,Brigade Road,4.4,500,Yes,Yes,4794,2255105059,79 Whitefield Bangalore
Golden Dragon,Indian,Whitefield,4.6,700,No,Yes,4473,6747525078,14 MG Road Bangalore
Seafood Shack,Mexican,Whitefield,3.2,1500,No,No,327,5540151490,27 Koramangala Bangalore
Sushi House,Japanese,Indiranagar,3.9,500,Yes,Yes,1080,7875708721,15 Marathahalli Bangalore
Fried Chicken Co,Korean,Marathahalli,4.3,1500,Yes,No,3877,8244801543,50 Marathahalli Bangalore
Bakery Sweet,Japanese,JP Nagar,3.2,500,No,Yes,820,5003636539,91 Electronic City Bangalore
Steak House,Thai,Indiranagar,4.6,300,No,Yes,2587,8711945400,49 HSR Layout Bangalore
Spice Garden,Thai,Brigade Road,4.3,1500,No,Yes,3617,7732065221,26 HSR Layout Bangalore
Coffee Corner,Chinese,Whitefield,3.3,1000,No,No,2219,110444549,16 HSR Layout Bangalore
Spice Garden,Japanese,HSR Layout,4.6,1000,Yes,Yes,2914,3527235628,86 Marathahalli Bangalore
Golden Dragon,Indian,BTM Layout,3.8,1000,No,Yes,809,2318989612,93 MG Road Bangalore
Italian Bistro,Japanese,BTM Layout,3.8,1000,Yes,No,2055,6524341469,24 Koramangala Bangalore
Curry House,Italian,Koramangala,5.0,700,No,Yes,2333,9820865346,26 Koramangala Bangalore
Taco Bell,Indian,Whitefield,4.9,1500,No,No,130,7657133662,15 Koramangala Bangalore
Steak House,Continental,Marathahalli,4.0,2000,Yes,Yes,1387,7069583567,11 Koramangala Bangalore
Italian Bistro,Chinese,MG Road,4.9,2000,Yes,Yes,2894,2796703581,91 Marathahalli Bangalore
Italian Bistro,Korean,JP Nagar,4.2,1000,No,No,662,8738109652,28 Koramangala Bangalore
Taco Bell,Fast Food,JP Nagar,3.3,2000,Yes,Yes,3530,3614997503,17 Marathahalli Bangalore
Pizza Express,Mexican,Whitefield,3.1,1000,Yes,Yes,1368,3848444230,81 HSR Layout Bangalore
Taco Bell,French,Electronic City,3.5,1500,Yes,No,2612,7370234816,53 Electronic City Bangalore
Italian Bistro,Mediterranean,Brigade Road,4.5,300,No,Yes,3101,7566688024,43 BTM Layout Bangalore
Seafood Shack,Fast Food,Whitefield,4.0,300,Yes,No,3465,1330823209,28 Electronic City Bangalore
Steak House,Fast Food,Electronic City,4.4,1000,No,Yes,2044,8472296648,22 Marathahalli Bangalore
Sushi House,Mexican,BTM Layout,3.3,300,Yes,No,721,5511507879,43 BTM Layout Bangalore
Ice Cream Parlor,Italian,Whitefield,3.1,2000,No,No,1932,6916455928,99 Whitefield Bangalore
Bakery Sweet,Indian,HSR Layout,3.6,1500,Yes,No,605,1471417169,30 HSR Layout Bangalore
Italian Bistro,Japanese,Electronic City,4.5,2000,No,No,799,2650860335,11 Koramangala Bangalore
BBQ Junction,Italian,HSR Layout,3.0,500,No,Yes,4565,977629669,30 Marathahalli Bangalore
Bakery Sweet,Indian,BTM Layout,4.0,1000,Yes,Yes,1153,5320240051,83 Koramangala Bangalore
Italian Bistro,French,BTM Layout,3.8,300,Yes,No,2957,4193992776,23 MG Road Bangalore
Mediterranean Delight,Indian,HSR Layout,3.4,700,No,No,366,2593586073,41 HSR Layout Bangalore
Mediterranean Delight,Japanese,Koramangala,3.7,1500,Yes,Yes,1074,6311117496,23 Koramangala Bangalore
Taco Bell,Mexican,HSR Layout,4.6,1000,No,No,554,5698416641,12 Indiranagar Bangalore
Pizza Express,Fast Food,MG Road,3.9,500,Yes,Yes,2502,8600028784,30 JP Nagar Bangalore
Sushi House,Continental,Electronic City,3.3,1500,Yes,No,811,3158793589,67 Electronic City Bangalore
Italian Bistro,Fast Food,JP Nagar,3.4,300,No,Yes,3316,2458765997,95 Indiranagar Bangalore
Spice Garden,Mexican,JP Nagar,3.0,2000,No,No,4899,1073174733,32 Indiranagar Bangalore
Pizza Express,Mexican,Koramangala,3.1,300,No,Yes,673,1992657944,41 Koramangala Bangalore
Italian Bistro,Fast Food,Brigade Road,4.7,1500,No,No,4112,6314306254,73 MG Road Bangalore
Italian Bistro,Korean,HSR Layout,4.7,2000,Yes,Yes,3981,4709170441,71 Brigade Road Bangalore
Taco Bell,Fast Food,BTM Layout,4.6,1000,No,Yes,1595,7774197389,29 JP Nagar Bangalore
Fried Chicken Co,Fast Food,HSR Layout,3.5,1500,No,No,3465,1671735187,38 HSR Layout Bangalore
Sushi House,Thai,JP Nagar,4.0,300,No,Yes,1571,7266439985,32 Whitefield Bangalore
Mexican Fiesta,Italian,JP Nagar,3.6,300,Yes,No,1860,5960019483,66 Indiranagar Bangalore
Sushi House,American,MG Road,3.7,1000,No,No,1455,3263623239,21 Koramangala Bangalore
Sushi House,Indian,Brigade Road,4.3,1000,Yes,No,4696,1778816635,73 Koramangala Bangalore
Noodle Bar,Japanese,JP Nagar,3.9,300,Yes,Yes,4042,8006444410,59 Koramangala Bangalore
Ice Cream Parlor,Indian,Koramangala,3.5,500,No,No,3195,2544824616,68 Electronic City Bangalore
Ice Cream Parlor,Mediterranean,JP Nagar,3.3,2000,No,No,783,2296814575,46 HSR Layout Bangalore
Steak House,Indian,Koramangala,4.3,300,Yes,Yes,3404,3094178199,84 HSR Layout Bangalore
Vegan Heaven,Mediterranean,HSR Layout,4.4,1000,No,No,1959,2447884195,35 JP Nagar Bangalore
Italian Bistro,French,MG Road,4.9,1000,Yes,No,636,3827994464,67 Koramangala Bangalore
Golden Dragon,Japanese,Koramangala,4.4,1500,No,Yes,1005,160109619,82 Whitefield Bangalore
Mediterranean Delight,Japanese,Koramangala,4.9,1000,No,No,1374,178701378,62 Koramangala Bangalore
Taco Bell,Mexican,Indiranagar,4.9,300,No,No,1153,8795721076,30 Brigade Road Bangalore
Vegan Heaven,French,Electronic City,3.5,1000,No,No,3766,9721264706,67 Whitefield Bangalore
Bakery Sweet,American,Whitefield,4.8,1500,Yes,Yes,4388,9330477667,11 Marathahalli Bangalore
Italian Bistro,Fast Food,Electronic City,4.9,1000,No,No,2046,1652673754,53 MG Road Bangalore
Seafood Shack,Indian,Whitefield,3.8,1000,Yes,Yes,1074,3132666526,61 Marathahalli Bangalore
Steak House,French,Indiranagar,4.2,2000,No,Yes,3568,5002484241,63 BTM Layout Bangalore
Vegan Heaven,Continental,Koramangala,3.6,500,Yes,Yes,1884,6792192253,67 Koramangala Bangalore
Seafood Shack,Thai,MG Road,3.7,500,No,Yes,4810,9282457955,82 Electronic City Bangalore
Sushi House,Indian,Indiranagar,3.5,2000,No,No,737,8147783968,90 Brigade Road Bangalore
Mexican Fiesta,Indian,HSR Layout,3.7,500,No,Yes,4308,1335610525,13 Indiranagar Bangalore
Bakery Sweet,Indian,HSR Layout,3.7,500,Yes,Yes,1239,3678732659,88 BTM Layout Bangalore
Sushi House,Continental,Marathahalli,4.8,1000,No,Yes,4468,8430906820,16 Electronic City Bangalore
Fried Chicken Co,Japanese,Marathahalli,4.2,700,Yes,No,3567,7331221014,74 BTM Layout Bangalore
Golden Dragon,American,Electronic City,4.9,2000,No,Yes,3808,1340247353,16 Whitefield Bangalore
Italian Bistro,Japanese,HSR Layout,3.1,1000,No,Yes,4001,4125590975,8 Whitefield Bangalore
Mexican Fiesta,French,Whitefield,3.1,1000,No,No,497,5083475929,24 MG Road Bangalore
BBQ Junction,Korean,HSR Layout,4.1,300,Yes,Yes,2029,4805004401,95 Indiranagar Bangalore
Spice Garden,Mediterranean,HSR Layout,4.1,1000,No,No,1307,1260110069,88 Marathahalli Bangalore
Steak House,Mexican,Whitefield,4.0,1000,No,Yes,4567,8992234971,19 Electronic City Bangalore
Vegan Heaven,Indian,Marathahalli,3.2,500,Yes,Yes,2630,9889159163,65 Koramangala Bangalore
Italian Bistro,Japanese,MG Road,3.9,700,Yes,Yes,3516,5022261993,78 HSR Layout Bangalore
Coffee Corner,Chinese,Marathahalli,3.4,700,No,No,4964,7426199530,56 Whitefield Bangalore
BBQ Junction,Thai,Koramangala,3.4,2000,Yes,Yes,463,6495604721,4 Koramangala Bangalore
Spice Garden,French,BTM Layout,3.8,1500,Yes,Yes,3536,5768491314,31 JP Nagar Bangalore
Noodle Bar,Indian,HSR Layout,3.2,300,Yes,No,4749,6104472443,61 Indiranagar Bangalore
Golden Dragon,French,BTM Layout,5.0,300,Yes,No,289,6799696583,35 Electronic City Bangalore
Ice Cream Parlor,Mediterranean,Indiranagar,4.4,1500,No,No,2257,2310609641,47 Whitefield Bangalore
Italian Bistro,American,MG Road,4.8,2000,Yes,No,1927,1013543720,73 Electronic City Bangalore
Pizza Express,Italian,JP Nagar,4.5,300,Yes,Yes,3788,4172349817,73 JP Nagar Bangalore
Noodle Bar,Italian,MG Road,4.1,2000,Yes,Yes,1418,6262118642,20 JP Nagar Bangalore
Burger Palace,French,JP Nagar,3.8,700,Yes,No,280,734450742,29 Indiranagar Bangalore
Italian Bistro,Chinese,Marathahalli,3.6,500,No,Yes,1745,7010362751,61 BTM Layout Bangalore
Ice Cream Parlor,Mexican,Koramangala,3.5,500,No,Yes,605,2629934998,97 Koramangala Bangalore
Spice Garden,Indian,JP Nagar,4.9,1000,No,Yes,3694,5227250249,65 Whitefield Bangalore
Burger Palace,Korean,Brigade Road,3.0,500,Yes,No,4197,9208383443,67 Marathahalli Bangalore
Thai Paradise,Italian,HSR Layout,3.0,1500,Yes,Yes,2431,3408374417,9 Indiranagar Bangalore
Steak House,Continental,BTM Layout,4.3,1000,Yes,No,2171,2808619602,27 BTM Layout Bangalore
BBQ Junction,American,Indiranagar,4.7,700,No,Yes,1564,4242173775,8 Whitefield Bangalore
Italian Bistro,Thai,Electronic City,3.1,2000,Yes,No,1199,7709316501,88 JP Nagar Bangalore
BBQ Junction,American,Koramangala,3.5,700,Yes,Yes,2115,792354356,61 Marathahalli Bangalore
BBQ Junction,Japanese,Electronic City,4.2,300,No,No,313,1903275485,18 Brigade Road Bangalore
Pizza Express,Thai,Electronic City,4.4,1000,No,No,2893,2014886599,47 Whitefield Bangalore
Spice Garden,Korean,Indiranagar,3.4,1500,Yes,Yes,1000,696581511,95 HSR Layout Bangalore
Spice Garden,Indian,JP Nagar,4.8,300,Yes,Yes,1840,6879320083,74 HSR Layout Bangalore
Seafood Shack,Mediterranean,JP Nagar,4.1,500,Yes,Yes,2712,1059200296,65 Whitefield Bangalore
Mexican Fiesta,Chinese,Koramangala,4.6,700,No,No,1003,9995775702,58 Whitefield Bangalore
Italian Bistro,American,JP Nagar,4.0,300,Yes,Yes,854,1352339666,96 Whitefield Bangalore
Sushi House,Mexican,Whitefield,3.7,500,Yes,Yes,2529,2977948006,17 MG Road Bangalore
Thai Paradise,French,Marathahalli,3.1,500,No,Yes,3045,1155829123,38 MG Road Bangalore
Taco Bell,Thai,JP Nagar,4.4,1000,Yes,No,580,4657764597,64 HSR Layout Bangalore
Pizza Express,French,Whitefield,3.2,1500,No,Yes,103,6509990066,19 Marathahalli Bangalore
Bakery Sweet,Chinese,Electronic City,3.9,300,No,No,243,723936635,27 Indiranagar Bangalore
Curry House,Indian,HSR Layout,4.7,500,No,No,4523,5801635883,96 Brigade Road Bangalore
Thai Paradise,Thai,Whitefield,4.3,1500,Yes,No,480,5029618226,75 JP Nagar Bangalore
Ice Cream Parlor,French,Whitefield,3.7,1000,Yes,Yes,1351,6509371914,75 JP Nagar Bangalore
BBQ Junction,Korean,BTM Layout,3.5,1000,Yes,No,676,7793873101,97 Whitefield Bangalore
Ice Cream Parlor,Italian,MG Road,4.8,500,No,Yes,2436,9822361918,36 Electronic City Bangalore
Spice Garden,American,Electronic City,4.1,700,No,No,482,8990972266,19 BTM Layout Bangalore
Golden Dragon,Italian,Koramangala,3.7,700,Yes,Yes,3367,855415006,66 MG Road Bangalore
Bakery Sweet,Continental,Brigade Road,3.4,300,No,Yes,940,157314242,2 Brigade Road Bangalore
Coffee Corner,American,HSR Layout,4.0,300,No,No,3003,3053543663,68 Indiranagar Bangalore
Mediterranean Delight,French,JP Nagar,4.2,1500,No,No,2147,6541496554,12 Whitefield Bangalore
Spice Garden,Italian,Whitefield,3.4,1500,No,Yes,1697,8567416616,16 MG Road Bangalore
Spice Garden,Fast Food,Electronic City,4.9,500,Yes,No,925,1960018405,24 Marathahalli Bangalore
Golden Dragon,Japanese,HSR Layout,3.6,1500,Yes,No,3002,6996127346,11 Brigade Road Bangalore
Thai Paradise,American,JP Nagar,3.1,700,Yes,Yes,1224,1368619185,25 MG Road Bangalore
Spice Garden,Continental,HSR Layout,4.6,1000,Yes,No,2138,6263991074,18 Electronic City Bangalore
Seafood Shack,Continental,Electronic City,4.0,300,No,Yes,3216,6211229161,49 Marathahalli Bangalore
Taco Bell,Italian,Whitefield,4.1,500,Yes,Yes,4666,1688747800,78 Electronic City Bangalore
Sushi House,American,Indiranagar,4.4,1500,Yes,Yes,3112,5750091022,90 MG Road Bangalore
Bakery Sweet,American,Brigade Road,4.4,700,Yes,Yes,3702,2347471371,80 Indiranagar Bangalore
Ice Cream Parlor,Thai,HSR Layout,4.9,2000,Yes,Yes,4076,8372278238,79 MG Road Bangalore
Curry House,Thai,Brigade Road,3.8,300,Yes,Yes,2617,399692811,65 Brigade Road Bangalore
Mediterranean Delight,Italian,Electronic City,4.3,300,Yes,Yes,1829,2591883719,78 Koramangala Bangalore
Mexican Fiesta,Mediterranean,Koramangala,3.9,1000,Yes,No,787,4332175810,18 Koramangala Bangalore
Italian Bistro,Continental,MG Road,3.9,300,Yes,No,3035,834269338,36 Marathahalli Bangalore
Golden Dragon,Indian,Brigade Road,3.4,2000,Yes,Yes,721,1613024522,39 Indiranagar Bangalore
Coffee Corner,Italian,Koramangala,3.2,300,Yes,No,4692,7173317807,22 Indiranagar Bangalore
Vegan Heaven,American,Brigade Road,3.4,1500,Yes,No,620,3672257071,36 Koramangala Bangalore
Thai Paradise,American,Koramangala,3.5,1500,Yes,No,2086,7953366838,59 HSR Layout Bangalore
Sushi House,American,JP Nagar,3.4,300,No,Yes,1197,6271105550,94 BTM Layout Bangalore
BBQ Junction,Italian,Indiranagar,3.3,1500,Yes,Yes,1789,2205740969,79 HSR Layout Bangalore
Thai Paradise,Mediterranean,Brigade Road,3.5,700,Yes,No,4206,602425816,44 MG Road Bangalore
BBQ Junction,Japanese,Marathahalli,4.1,500,No,Yes,3151,1716893769,48 HSR Layout Bangalore
Seafood Shack,Thai,HSR Layout,4.4,700,Yes,Yes,3173,9124547647,8 Marathahalli Bangalore
Coffee Corner,Mexican,HSR Layout,4.7,2000,Yes,Yes,3224,560189339,94 Electronic City Bangalore
Noodle Bar,Korean,Indiranagar,3.1,300,No,Yes,2880,6980013169,64 MG Road Bangalore
Sushi House,Indian,HSR Layout,4.9,2000,No,No,964,3339828737,62 Brigade Road Bangalore
Vegan Heaven,Japanese,Electronic City,4.5,500,Yes,Yes,136,7703262752,58 HSR Layout Bangalore
Steak House,Thai,Electronic City,4.3,1500,Yes,Yes,1975,5654959367,40 Marathahalli Bangalore
Coffee Corner,Mediterranean,Electronic City,4.4,1500,Yes,No,1514,7850217062,60 Electronic City Bangalore
Golden Dragon,Indian,Koramangala,4.6,1000,No,Yes,4102,3537769171,67 Electronic City Bangalore
Italian Bistro,Italian,Marathahalli,4.8,1000,No,Yes,2362,4833861173,85 Brigade Road Bangalore
Golden Dragon,Korean,BTM Layout,3.6,1000,Yes,No,4008,1352992990,74 Marathahalli Bangalore
Thai Paradise,Mediterranean,BTM Layout,3.1,2000,Yes,No,2747,7485380343,51 Electronic City Bangalore
BBQ Junction,Continental,Electronic City,3.7,700,No,No,4401,5610822484,96 Marathahalli Bangalore
Ice Cream Parlor,Continental,Koramangala,4.4,2000,Yes,No,4917,4092730551,69 Whitefield Bangalore
Pizza Express,Fast Food,HSR Layout,4.2,500,No,Yes,2503,9454952869,92 Marathahalli Bangalore
Golden Dragon,Indian,JP Nagar,3.2,500,No,Yes,88,9038364492,23 JP Nagar Bangalore
Burger Palace,Thai,BTM Layout,4.5,300,No,No,594,3191989509,41 HSR Layout Bangalore
Fried Chicken Co,Fast Food,Electronic City,3.9,1000,Yes,No,2146,2075961696,73 Indiranagar Bangalore
Vegan Heaven,Indian,BTM Layout,3.2,700,No,Yes,4893,5867947906,13 BTM Layout Bangalore
Spice Garden,Italian,HSR Layout,4.3,2000,Yes,Yes,4530,6157072899,46 Whitefield Bangalore
Mediterranean Delight,Italian,Whitefield,3.4,1000,No,No,332,7621194755,81 Indiranagar Bangalore
Thai Paradise,Mexican,Whitefield,4.0,500,Yes,Yes,4367,3995870582,94 MG Road Bangalore
Bakery Sweet,French,Koramangala,4.2,1000,No,Yes,4278,4587777070,53 Whitefield Bangalore
Vegan Heaven,Italian,BTM Layout,3.7,300,No,Yes,1177,8555155818,65 Whitefield Bangalore
Thai Paradise,Japanese,Koramangala,3.3,1000,No,Yes,4141,7672136166,88 Koramangala Bangalore
Italian Bistro,Thai,Koramangala,3.0,300,No,Yes,1024,8278453525,97 Whitefield Bangalore
Fried Chicken Co,Mexican,HSR Layout,4.7,700,Yes,Yes,3980,7377247093,48 Brigade Road Bangalore
Taco Bell,Italian,HSR Layout,4.8,700,No,Yes,608,6615367904,81 JP Nagar Bangalore
Mexican Fiesta,Continental,Koramangala,3.5,1000,No,No,4293,926547739,73 Brigade Road Bangalore
Fried Chicken Co,Italian,Whitefield,3.3,1000,No,No,4911,2600631443,76 HSR Layout Bangalore
Vegan Heaven,Mediterranean,Koramangala,4.5,1000,No,Yes,330,3845896383,27 MG Road Bangalore
Spice Garden,Korean,BTM Layout,3.9,300,No,Yes,2067,5115626731,24 BTM Layout Bangalore
Curry House,Italian,Whitefield,4.7,1000,Yes,Yes,2135,8691283939,50 Koramangala Bangalore
Pizza Express,Japanese,HSR Layout,3.6,700,Yes,No,358,1087873870,34 MG Road Bangalore
Spice Garden,American,Marathahalli,3.3,1000,No,Yes,624,512290477,6 MG Road Bangalore
Steak House,Indian,Whitefield,4.6,300,Yes,No,4384,2390456740,40 HSR Layout Bangalore
Ice Cream Parlor,Korean,Koramangala,3.9,700,No,No,3886,8891330321,75 Koramangala Bangalore
Taco Bell,Mexican,BTM Layout,3.7,700,No,No,1499,755698627,64 MG Road Bangalore
Pizza Express,Mediterranean,Marathahalli,4.8,700,No,No,104,4161347318,80 BTM Layout Bangalore
Fried Chicken Co,Chinese,Indiranagar,4.0,1500,No,Yes,3622,1020627160,86 Koramangala Bangalore
Burger Palace,Mexican,Whitefield,4.7,1000,No,Yes,2605,1794844771,84 JP Nagar Bangalore
Thai Paradise,Indian,MG Road,3.4,1500,No,No,4589,8558765179,74 MG Road Bangalore
Coffee Corner,Mexican,Whitefield,3.6,1000,Yes,Yes,1489,1712082157,83 JP Nagar Bangalore
Taco Bell,Continental,JP Nagar,4.1,700,No,Yes,4821,3418137637,70 Whitefield Bangalore
Curry House,French,Brigade Road,4.6,700,Yes,Yes,4558,1079416158,58 Marathahalli Bangalore
Seafood Shack,Japanese,Brigade Road,4.7,500,No,Yes,4919,4279310319,13 JP Nagar Bangalore
Curry House,Korean,BTM Layout,3.3,700,Yes,No,533,842039578,20 MG Road Bangalore
Bakery Sweet,French,Koramangala,3.9,1500,No,Yes,4390,8390106001,60 Marathahalli Bangalore
Coffee Corner,Chinese,MG Road,4.2,1500,No,Yes,1132,6921818930,69 Electronic City Bangalore
Steak House,American,Electronic City,3.9,500,No,Yes,3582,1728316840,83 Koramangala Bangalore
Mediterranean Delight,Continental,Indiranagar,4.5,1000,No,No,678,7856103083,32 HSR Layout Bangalore
Mediterranean Delight,Mediterranean,Whitefield,3.2,1500,No,No,4538,7795029618,10 Koramangala Bangalore
BBQ Junction,Chinese,JP Nagar,4.6,500,Yes,Yes,4437,6562668123,6 Whitefield Bangalore
Mexican Fiesta,American,BTM Layout,4.7,2000,No,No,3064,4480614593,7 Indiranagar Bangalore
Golden Dragon,Mexican,Electronic City,4.8,500,No,No,1747,7841778589,36 Brigade Road Bangalore
Golden Dragon,Mediterranean,Indiranagar,3.2,500,Yes,Yes,4974,5567367585,97 Indiranagar Bangalore
Mexican Fiesta,Indian,Marathahalli,3.9,700,No,Yes,1140,5543567136,29 HSR Layout Bangalore
Steak House,Mexican,Koramangala,3.8,700,No,Yes,81,8389484757,54 Brigade Road Bangalore
Coffee Corner,Mexican,Marathahalli,3.2,700,No,No,1880,7031772303,11 Whitefield Bangalore
Seafood Shack,Continental,Brigade Road,4.4,500,Yes,Yes,2719,3929573562,92 Indiranagar Bangalore
Coffee Corner,Continental,JP Nagar,4.0,2000,Yes,No,1174,4931480348,49 Indiranagar Bangalore
Ice Cream Parlor,Korean,Whitefield,3.0,2000,No,Yes,1209,8615530470,77 JP Nagar Bangalore
Mediterranean Delight,Continental,JP Nagar,4.9,300,No,Yes,4825,9975852108,10 HSR Layout Bangalore
Fried Chicken Co,American,HSR Layout,4.5,700,No,Yes,1750,6729111969,8 MG Road Bangalore
Pizza Express,Italian,JP Nagar,3.8,1500,Yes,Yes,2189,5668928493,72 HSR Layout Bangalore
Seafood Shack,Thai,Indiranagar,3.5,2000,Yes,Yes,3174,5884854766,13 Indiranagar Bangalore
Pizza Express,American,Electronic City,3.7,300,No,Yes,4881,3095608916,15 HSR Layout Bangalore
Italian Bistro,Continental,MG Road,3.8,700,No,Yes,740,4806360669,12 JP Nagar Bangalore
Steak House,Italian,HSR Layout,4.2,1500,Yes,Yes,3127,9637142777,38 JP Nagar Bangalore
Mexican Fiesta,Chinese,HSR Layout,4.7,700,No,Yes,4964,9867864336,57 Marathahalli Bangalore
Vegan Heaven,Japanese,Electronic City,3.7,1500,No,No,3098,1859896488,50 HSR Layout Bangalore
Seafood Shack,Fast Food,MG Road,3.8,500,Yes,Yes,453,3962229453,21 BTM Layout Bangalore
Golden Dragon,Mediterranean,JP Nagar,4.1,1500,Yes,Yes,4172,4245851489,14 Electronic City Bangalore
Mexican Fiesta,Korean,JP Nagar,4.5,1000,Yes,Yes,2560,5849166647,82 BTM Layout Bangalore
Spice Garden,Thai,Marathahalli,3.1,300,No,No,1938,2626221403,2 JP Nagar Bangalore
Mexican Fiesta,Fast Food,Koramangala,3.5,2000,Yes,No,1760,9717418141,78 JP Nagar Bangalore
Pizza Express,Mexican,Marathahalli,3.1,300,No,Yes,2465,7514238247,38 Koramangala Bangalore
Golden Dragon,Mediterranean,Whitefield,4.7,2000,Yes,No,2483,2669056192,58 BTM Layout Bangalore
Fried Chicken Co,Mediterranean,Electronic City,3.3,500,Yes,No,4144,5336577231,93 Electronic City Bangalore
Taco Bell,Japanese,Brigade Road,3.2,500,No,No,1089,4531281775,14 Indiranagar Bangalore
Curry House,Mediterranean,Electronic City,4.4,700,No,Yes,639,6235004700,38 MG Road Bangalore
Coffee Corner,Mediterranean,JP Nagar,4.7,2000,Yes,Yes,3923,8883604193,71 Koramangala Bangalore
Vegan Heaven,Mexican,HSR Layout,4.7,2000,No,No,2972,386327113,18 Indiranagar Bangalore
Spice Garden,Mediterranean,MG Road,4.3,1500,No,No,853,191035338,29 MG Road Bangalore
Steak House,American,Whitefield,4.9,1500,Yes,No,2723,530357895,31 Brigade Road Bangalore
Mexican Fiesta,Japanese,HSR Layout,4.6,1500,Yes,Yes,3875,7505155039,50 Koramangala Bangalore
Thai Paradise,French,Whitefield,3.8,1000,Yes,No,1707,1056429987,50 Marathahalli Bangalore
Curry House,Korean,JP Nagar,4.3,2000,Yes,No,183,8724716831,65 BTM Layout Bangalore
Coffee Corner,Thai,Whitefield,4.0,700,Yes,Yes,1417,3075635575,67 Marathahalli Bangalore
