name,addr,city,phone,type
fenix at the argyle,8358 sunset blvd.,w. hollywood,213-848-6677,french (new)
art's deli,12224 ventura blvd.,studio city,818-762-1221,delis
inca grill,492 broome st.  near w. broadway,new york,212/966-3371,latin american
le colonial,8783 beverly blvd.,los angeles,310/289-0660,asian
harbor village,4 embarcadero center,san francisco,415/781-8833,asian
planet hollywood,140 w. 57th st.,new york,212/333-7827,american
ipanema,13 w. 46th st.,new york,212/730-5848,latin american
rose pistola,532 columbus ave.,san francisco,415/399-0499,italian
eats,600 ponce de leon ave.,atlanta,404-888-9149,italian
monkey bar,60 e. 54th st.,new york,212/838-2600,american
alon's at the terrace,659 peachtree st.,atlanta,404-724-0444,sandwiches
caffe bondi ristorante,7 w. 20th st.,new york,212/691-8136,italian
la grotta at ravinia dunwoody rd.,holiday inn/crowne plaza at ravinia  dunwoody,atlanta,770/395-9925,italian
campanile,624 s. la brea ave.,los angeles,213-938-1447,californian
hard rock cafe,8600 beverly blvd.,los angeles,310/276-7605,american
l'orangerie,903 n. la cienega blvd.,los angeles,310/652-9770,french
fishin eddie,73 w. 71st st.,new york,212/874-3474,seafood
ritz-carlton dining room (san francisco),600 stockton st.,san francisco,415-296-7465,french (new)
garden court,market and new montgomery sts.,san francisco,415/546-5011,old san francisco
one if by land  tibs,17 barrow st.,new york city,212-228-0822,continental
la taqueria,2889 mission st.,san francisco,415-285-7117,mexican
imperial fez,2285 peachtree rd.  peachtree battle condominium,atlanta,404/351-0870,mediterranean
dix et sept,181 w. 10th st.,new york,212/645-8023,french
ej's luncheonette,432 sixth ave.,new york city,212-473-5555,diners
fringale,570 fourth st.,san francisco,415-543-0573,french bistro
chan dara,310 n. larchmont blvd.,los angeles,213/467-1052,asian
march,405 e. 58th st.,new york city,212-754-6272,american (new)
s.p.q.r,133 mulberry st.  between hester and grand sts.,new york,212/925-3120,italian
mani's bakery & espresso bar,519 s. fairfax ave.,la,213-938-8800,desserts
bugsy's diner,3555 las vegas blvd. s,las vegas,702/733-3111,coffee shops/diners
20 mott,20 mott st.  between bowery and pell st.,new york,212/964-0380,asian
toulouse,b peachtree rd.,atlanta,404/351-9533,french
pink's famous chili dogs,709 n. la brea ave.,la,213-931-4223,hot dogs
verbena,54 irving pl. at 17th st.,new york,212/260-5454,american
bone's restaurant,3130 piedmont rd. ne,atlanta,404-237-2663,steakhouses
island spice,402 w. 44th st.,new york city,212-765-1737,caribbean
des alpes,732 broadway,san francisco,415/788-9900,french
tomtom,3393 peachtree rd.,atlanta,404/264-1163,continental
tavola calda,7371 melrose ave.,los angeles,213/658-6340,italian
four seasons grill room,99 e. 52nd st.,new york,212/754-9494,american
center stage plaza hotel,1 main st.,las vegas,702/386-2512,american
alain rondelli,126 clement st.,san francisco,415/387-0408,french
remi,3rd st. promenade,santa monica,310/393-6545,italian
zarzuela,2000 hyde st.,san francisco,415/346-0800,mexican/latin american/spanish
bertolini's,3570 las vegas blvd. s,las vegas,702/735-4663,italian
cha cha cha,656 n. virgil ave.,los angeles,213/664-7723,caribbean
lutece,249 e. 50th st.,new york,212/752-2225,french
la grenouille,3 e. 52nd st.,new york city,212-752-1495,french (classic)
second avenue deli,156 second ave.,new york city,212-677-0606,delis
smith & wollensky,797 third ave.,new york city,212-753-1530,steakhouses
tommy's,2575 beverly blvd.,la,213-389-9060,hamburgers
alamo,304 e. 48th st.,new york,212/ 759-0590,mexican
clearwater cafe,168 w. colorado blvd.,los angeles,818/356-0959,health food
arnie morton's of chicago,435 s. la cienega blv.,los angeles,310/246-1501,american
sally's cafe & bakery,300 de haro st.,san francisco,415-626-6006,american
parioli romanissimo,24 e. 81st st.,new york,212/288-2391,italian
stick to your ribs,5-16 51st ave.,queens,718-937-3030,bbq
lattanzi ristorante,361 w. 46th st.,new york,212/315-0980,italian
brent's deli,19565 parthenia ave.,northridge,818-886-5679,delis
tavern on the green,in central park at 67th st.,new york,212/873-3200,american
the mandarin,430 n. camden dr.,los angeles,310/859-0926,asian
jiraffe,502 santa monica blvd,santa monica,310-917-6671,californian
second avenue deli,156 2nd ave. at 10th st.,new york,212/677-0606,delicatessen
border grill,4th st.,los angeles,310/451-1655,mexican
le soleil,133 clement st.,san francisco,415/668-4848,asian
cypress club,500 jackson st.,san francisco,415/296-8555,american
west,63rd street steakhouse 44 w. 63rd st.,new york,212/246-6363,american
schatzi on main,3110 main st.,los angeles,310/399-4800,continental
caffe dante,81 macdougal st.  between houston and bleeker sts.,new york,212/982-5275,coffee bar
harris',2100 van ness ave.,san francisco,415/673-1888,steak houses
steak house,2880 las vegas blvd. s,las vegas,702/734-0410,steak houses
palio d'asti,640 sacramento st.,san francisco,415/395-9800,italian
broiler,4111 boulder hwy.,las vegas,702/432-7777,american
tre visi,3799 las vegas blvd. s.,las vegas,702-891-7331,italian
scala's bistro,432 powell st.,san francisco,415/395-8555,italian
global,33 93 2nd ave.  between 5th and 6th sts.,new york,212/477-8427,american
posto,14928 ventura blvd.,sherman oaks,818/784-4400,italian
macarthur park,607 front st.,san francisco,415/398-5700,american
bruno,240 e. 58th st.,new york,212/688-4190,italian
motown cafe,104 w. 57th st.  near 6th ave.,new york,212/581-8030,american
ct,111 e. 22nd st.  between park ave. s and lexington ave.,new york,212/995-8500,french
fat matt's rib shack,1811 piedmont ave.  near cheshire bridge rd.,atlanta,404/607-1622,barbecue
21 club,21 w. 52nd st.,new york,212/582-7200,american
felix,340 w. broadway at grand st.,new york,212/431-0021,french
grand ticino,228 thompson st.  between w. 3rd and bleecker sts.,new york,212/777-5922,italian
pamplemousse,400 e. sahara ave.,las vegas,702/733-2066,continental
nate 'n' al's,414 n. beverly dr.,los angeles,310/274-0101,american
cafe claude,7 claude ln.,san francisco,415-392-3505,french bistro
wa-ha-ka oaxaca mexican grill,2141 polk st.,san francisco,415-775-1055,mexican
edison cafe,228 w. 47th st.,new york city,212-840-5000,diners
picholine,35 w. 64th st.,new york city,212-724-8585,mediterranean
carnegie deli,854 seventh ave.,new york city,212-757-2245,delis
original pancake house (at),4330 peachtree rd.,atlanta,404-237-4116,american
atlanta fish market,265 pharr rd.,atlanta,404/262-3165,american
oceana,55 e. 54th st.,new york,212/759-5941,seafood
post house,28 e. 63rd st.,new york,212/935-2888,american
harry denton's,161 steuart st.,san francisco,415/882-1333,american
cafe sunflower,5975 roswell rd.,atlanta,404-256-1675,health food
rumpus,1 tillman pl.,san francisco,415/421-2300,american
pane e vino,3011 steiner st.,san francisco,415/346-2111,italian
ritz-carlton cafe (buckhead),3434 peachtree rd. ne,atlanta,404-237-2700,american (new)
boonthai,1393a 2nd ave.  between 72nd and 73rd sts.,new york,212/249-8484,asian
veniero's pasticceria,342 e. 11th st.  near 1st ave.,new york,212/674-7264,coffee bar
carmine's,2450 broadway,new york city,212-362-2200,italian
bill's place,2315 clement st.,san francisco,415-221-5262,hamburgers
abruzzi,2355 peachtree rd. ne,atlanta,404-261-8186,italian
smith & wollensky,201 e. 49th st.,new york,212/753-1530,american
parkway grill,510 s. arroyo pkwy.,pasadena,818-795-1001,californian
sam's noodle shop,411 third ave.,new york city,212-213-2288,chinese
toulouse,293-b peachtree rd.,atlanta,404-351-9533,french (new)
pho hoa,642 broadway,chinatown,213-626-5530,vietnamese
aureole,34 e. 61st st.,new york,212/ 319-1660,american
docks,633 3rd ave. at 40th st.,new york,212/ 986-8080,seafood
remi,145 w. 53rd st.,new york,212/581-4242,italian
phnom penh cambodian restaurant,631 larkin st.,san francisco,415-775-5979,cambodian
sylvia's,328 lenox ave.,new york city,212-996-0660,southern/soul
caffe reggio,119 macdougal st.  between 3rd and bleecker sts.,new york,212/475-9557,coffee bar
fiorello's roman cafe,1900 broadway  between 63rd and 64th sts.,new york,212/595-5330,italian
chopstix,4279 roswell rd.,atlanta,404-255-4868,chinese
second street grille,200 e. fremont st.,las vegas,702/385-3232,seafood
teresa's,103 1st ave.  between 6th and 7th sts.,new york,212/228-0604,east european
golden unicorn,18 e. broadway at catherine st.,new york,212/ 941-0911,asian
ocean park cafe,3117 ocean park blvd.,santa monica,310-452-5728,american
palace court,3570 las vegas blvd. s.,las vegas,702-731-7110,french (new)
le gamin,50 macdougal st.  between houston and prince sts.,new york,212/254-4678,coffee bar
annie's thai castle,3195 roswell rd.,atlanta,404/264-9546,asian
ocean avenue,1401 ocean ave.,santa monica,310/394-5669,american
caffe lure,169 sullivan st.  between houston and bleecker sts.,new york,212/473-2642,french
grill  the,9560 dayton way,beverly hills,310-276-0615,american (traditional)
mary mac's tea room,224 ponce de leon ave.,atlanta,404/876-1800,southern
rainbow restaurant,2118 n. decatur rd.,decatur,404-633-3538,vegetarian
cafe botanica,160 central park s,new york,212/484-5120,french
l'auberge,1191 1st ave.  between 64th and 65th sts.,new york,212/288-8791,middle eastern
havana sandwich shop,2905 buford hwy.,atlanta,404-636-4094,cuban
citrus,6703 melrose ave.,los angeles,213/857-0034,californian
lola,30 west 22nd st.  between 5th and 6th ave.,new york,212/675-6700,american
lucky strike,59 grand st.  between wooster st. and w. broadway,new york,212/941-0479,or 212/941-0772 american
bouterin,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french
firehouse,522 columbus ave.  between 85th and 86th sts.,new york,212/595-3139,american
le chardonnay (los angeles),8284 melrose ave.,los angeles,213-655-8880,french bistro
sparks steak house,210 e. 46th st.,new york city,212-687-4855,steakhouses
indigo coastal grill,1397 n. highland ave.,atlanta,404-876-0676,eclectic
bistro,3400 las vegas blvd. s,las vegas,702/791-7111,continental
rex il ristorante,617 s. olive st.,los angeles,213/627-2300,italian
nikolai's roof,255 courtland st.,atlanta,404-221-6362,continental
ed debevic's,134 n. la cienega,los angeles,310/659-1952,american
cucina della fontana,368 bleecker st.,new york city,212-242-0636,italian
gaylord's,ghirardelli sq.,san francisco,415/771-8822,asian
bruno's,3838 centinela ave.,mar vista,310-397-5703,italian
moustache,405 atlantic ave.,brooklyn,718-852-5555,middle eastern
brasserie le coze,3393 peachtree rd.  lenox square mall  near neiman marcus,atlanta,404/266-1440,french
agrotikon,322 e. 14 st.  between 1st and 2nd aves.,new york,212/473-2602,mediterranean
emeril's new orleans fish house,3799 las vegas blvd. s.,las vegas,702-891-7374,seafood
granita,23725 w. malibu rd.,malibu,310-456-0488,californian
tavern on the green,central park west,new york city,212-873-3200,american (new)
caffe roma,385 broome st. at mulberry,new york,212/226-8413,coffee bar
joss,9255 sunset blvd.,los angeles,310/276-1886,asian
zankou chicken,1415 e. colorado st.,glendale,818-244-1937,middle eastern
white house restaurant,3172 peachtree rd. ne,atlanta,404-237-7601,diners
aqua,252 california st.,san francisco,415/956-9662,seafood
san domenico,240 central park s.,new york city,212-265-5959,italian
bamboo garden,4850 flamingo rd.,las vegas,702/871-3262,asian
dining room  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,international
billy's,948 1st ave.  between 52nd and 53rd sts.,new york,212/753-1870,american
diaghilev,1020 n. san vicente blvd.,w. hollywood,310-854-1111,russian
afghan kebab house,764 ninth ave.,new york city,212-307-1612,afghan
suppenkuche,601 hayes st.,san francisco,415/252-9289,russian/german
kabuto sushi,5116 geary blvd.,san francisco,415/752-5652,asian
chevys,4th and howard sts.,san francisco,415/543-8060,mexican/latin american/spanish
luna si,1931 peachtree rd.,atlanta,404/355-5993,continental
mario's bohemian cigar store cafe,2209 polk st.,san francisco,415-776-8226,italian
yujean kang's,67 n. raymond ave.,pasadena,818-585-0855,chinese
stefano's,129 fremont st.,las vegas,702-385-7111,italian
buckhead diner,3073 piedmont rd.,atlanta,404-262-3336,american (new)
la fonda latina,4427 roswell rd.,atlanta,404-303-8201,spanish
la grotta,2637 peachtree rd. ne,atlanta,404-231-1368,italian
granita,23725 w. malibu rd.,malibu,310/456-0488,californian
hsu's gourmet,192 peachtree center ave.  at international blvd.,atlanta,404/659-2788,asian
aquavit,13 w. 54th st.,new york,212/307-7311,continental
cha cha cha's,1805 haight st.,san francisco,415-386-5758,caribbean
hugo's cellar,202 e. fremont st.,las vegas,702-385-4011,continental
little szechuan,c buford hwy.  northwoods plaza  doraville,atlanta,770/451-0192,asian
katia's,600 5th ave.,san francisco,415/668-9292,
two two two,222 w. 79th st.,new york,212/799-0400,american
west beach cafe,60 n. venice blvd.,los angeles,310/823-5396,american
buca giovanni,800 greenwich st.,san francisco,415/776-7766,italian
barney greengrass,9570 wilshire blvd.,beverly hills,310/777-5877,american
locanda veneta,3rd st.,los angeles,310/274-1893,italian
kokomo cafe,6333 w. third st.,la,213-933-0773,american
pen & pencil,205 e. 45th st.,new york,212/682-8660,american
fujiyama mama,467 columbus ave.  between 82nd and 83rd sts.,new york,212/769-1144,asian
broadway deli,3rd st. promenade,santa monica,310/451-0616,american
pinot bistro,12969 ventura blvd.,studio city,818-990-0500,french bistro
zab-e-lee,4837 old national hwy.,college park,404-768-2705,thai
hi-life restaurant and lounge,1340 1st ave. at 72nd st.,new york,212/249-3600,american
tapika,950 8th ave. at 56th st.,new york,212/ 397-3737,american
cafe flore,2298 market st.,san francisco,415-621-8579,californian
lemongrass grill,61a seventh ave.,brooklyn,718-399-7100,thai
killer shrimp,4000 colfax ave.,studio city,818-508-1570,seafood
cafe claude,7 claude la.,san francisco,415/392-3505,french
marnie's noodle shop,466 hudson st.,new york city,212-741-3214,asian
palm too,840 second ave.,new york city,212-697-5198,steakhouses
coco loco,40  buckhead crossing mall on the sidney marcus blvd.,atlanta,404/364-0212,caribbean
campo santo,240 columbus ave.,san francisco,415-433-9623,mexican
andre's french restaurant,401 s. 6th st.,las vegas,702-385-5016,french (classic)
caffe greco,423 columbus ave.,san francisco,415-397-6261,continental
georgia grille,2290 peachtree rd.  peachtree square shopping center,atlanta,404/352-3517,american
north india,3131 webster st.,san francisco,415/931-1556,asian
bone's,3130 piedmont road,atlanta,404/237-2663,american
hyde street bistro,1521 hyde st.,san francisco,415/441-7778,italian
moose's,1652 stockton st.,san francisco,415/989-7800,mediterranean
cafe '50s,838 lincoln blvd.,venice,310-399-1955,american
rainbow room,30 rockefeller plaza,new york city,212-632-5000,american (new)
beaurivage,26025 pacific coast hwy.,malibu,310/456-5733,french
house of chan,2469 cobb pkwy.,smyrna,770-955-9444,chinese
park avenue cafe (new york city),100 e. 63rd st.,new york city,212-644-1900,american (new)
montien,1134 1st ave.   between 62nd and 63rd sts.,new york,212/421-4433,asian
milan cafe and coffee bar,120 w. 23rd st.,new york,212/807-1801,coffee bar
greens,bldg. a fort mason,san francisco,415/771-6222,vegetarian
seryna,11 e. 53rd st.,new york city,212-980-9393,japanese
cafe lalo,201 w. 83rd st.,new york city,212-496-6031,coffeehouses
bacchanalia,3125 piedmont rd.,atlanta,404-365-0410,californian
le perigord,405 e. 52nd st.,new york,212/755-6244,french
majestic,1031 ponce de leon ave.,atlanta,404-875-0276,diners
khan toke thai house,5937 geary blvd.,san francisco,415-668-6654,thai
piero's restaurant,355 convention center dr.,las vegas,702-369-2305,italian
duke's,8909 sunset blvd.,w. hollywood,310-652-3100,coffee shops
campanile,624 s. la brea ave.,los angeles,213/938-1447,american
swan oyster depot,1517 polk st.,san francisco,415-673-1101,seafood
pinot bistro,12969 ventura blvd.,los angeles,818/990-0500,french
sal anthony's,55 irving pl.,new york,212/982-9030,italian
jackson's farm,439 n. beverly drive,los angeles,310/273-5578,californian
bolo,23 e. 22nd st.,new york,212/228-2200,mediterranean
jody maroni's sausage kingdom,2011 ocean front walk,venice,310-306-1995,hot dogs
bizou,598 fourth st.,san francisco,415/543-2222,french
pastis,1015 battery st.,san francisco,415/391-2555,french
stars,150 redwood alley,san francisco,415/861-7827,american
nicola,601 s. figueroa st.,los angeles,213/485-0927,american
bar anise,1022 3rd ave.  between 60th and 61st sts.,new york,212/355-1112,mediterranean
marichu,342 e. 46th st.  between 1st and 2nd aves.,new york,212/370-1866,french
bacchanalia,3125 piedmont rd.  near peachtree rd.,atlanta,404/365-0410,international
joe's shanghai,9 pell st.,queens,718-539-3838,chinese
yama,122 e. 17th st.,new york city,212-475-0969,japanese
empress court,3570 las vegas blvd. s,las vegas,702/731-7888,asian
xunta,174 1st ave.  between 10th and 11th sts.,new york,212/614-0620,mediterranean
tillerman  the,2245 e. flamingo rd.,las vegas,702-731-4036,steakhouses
tillerman,2245 e. flamingo rd.,las vegas,702/731-4036,seafood
johnny rockets (la),7507 melrose ave.,la,213-651-3361,american
flying biscuit  the,1655 mclendon ave.,atlanta,404-687-8888,eclectic
elias corner,24-02 31st st.,queens,718-932-1510,greek
f. ille ponte ristorante,39 desbrosses st.  near west st.,new york,212/226-4621,italian
spring street natural restaurant & bar,62 spring st. at lafayette st.,new york,212/966-0290,american
capsouto freres,451 washington st.  near watts st.,new york,212/966-4900,french
veni vidi vici,41 14th st.,atlanta,404/875-8424,italian
sign of the dove,1110 third ave.,new york city,212-861-8080,american (new)
lombardi's,32 spring st.,new york city,212-941-7994,pizza
mccormick & kuleto's,ghirardelli sq.,san francisco,415/929-1730,seafood
second street grill,200 e. fremont st.,las vegas,702-385-6277,pacific rim
soto,3330 piedmont rd.,atlanta,404-233-2005,japanese
campton place,340 stockton st.,san francisco,415-955-5555,american (new)
millennium,246 mcallister st.,san francisco,415/487-9800,vegetarian
tommy tang's,7313 melrose ave.,los angeles,213/937-5733,asian
anche vivolo,222 e. 58th st.  between 2nd and 3rd aves.,new york,212/308-0112,italian
le jardin,25 cleveland pl.  near spring st.,new york,212/343-9599,french
sign of the dove,1110 3rd ave. at 65th st.,new york,212/861-8080,american
ritz-carlton restaurant,181 peachtree st.,atlanta,404-659-0400,french (classic)
fringale,570 4th st.,san francisco,415/543-0573,french
penang soho,109 spring st.  between greene and mercer sts.,new york,212/274-8883,asian
el cholo,1121 s. western ave.,los angeles,213/734-2773,mexican
marquet patisserie,15 e. 12th st.  between 5th ave. and university pl.,new york,212/229-9313,coffee bar
wollensky's grill,205 e. 49th st.,new york city,212-753-0444,steakhouses
uncle nick's,747 ninth ave.,new york city,212-245-7992,greek
vivande ristorante,670 golden gate ave.,san francisco,415/673-9245,italian
le marais,150 w. 46th st.,new york,212/869-0900,american
la cachette,10506 little santa monica blvd.,century city,310-470-4992,french (new)
jan's family restaurant,8424 beverly blvd.,la,213-651-2866,coffee shops
103 west,103 w. paces ferry rd.,atlanta,404-233-5993,continental
postrio,545 post st.,san francisco,415-776-7825,californian
yaya cuisine,1220 9th ave.,san francisco,415/566-6966,greek and middle eastern
baker's cajun cafe,1134 euclid ave.,atlanta,404-223-5039,cajun/creole
brighton coffee shop,9600 brighton way,beverly hills,310-276-7732,coffee shops
bobby & june's kountry kitchen,375 14th st.,atlanta,404-876-3872,southern/soul
south park cafe,108 south park,san francisco,415/495-7275,french
kelley & ping,127 greene st.,new york city,212-228-1212,pan-asian
kelly's on trinity,333 bush st.,san francisco,415-362-4454,californian
jimmy sung's,219 e. 44th st.  between 2nd and 3rd aves.,new york,212/682-5678,asian
doidge's,2217 union st.,san francisco,415-921-2149,american
holt bros. bar-b-q,6359 jimmy carter blvd.  at buford hwy.  norcross,atlanta,770/242-3984,barbecue
pinot hollywood,1448 n. gower st.,los angeles,213/461-8800,californian
uncle bill's pancake house,1305 highland ave.,manhattan beach,310-545-5177,diners
pomaire,371 w. 46th st.  off 9th ave.,new york,212/ 956-3055,latin american
beesley's of buckhead,260 e. paces ferry road,atlanta,404/264-1334,continental
river cafe,1 water st. at the east river,brooklyn,718/522-5200,american
cafe pinot,700 w. fifth st.,los angeles,213/239-6500,californian
sarabeth's,1295 madison ave.,new york city,212-410-7335,american
maykadeh,470 green st.,san francisco,415/362-8286,greek and middle eastern
hard rock cafe,221 w. 57th st.,new york,212/489-6565,american
la mediterranee,288 noe st.,san francisco,415-431-7210,mediterranean
california pizza kitchen,207 s. beverly dr.,los angeles,310/275-1101,californian
la salsa (la),22800 pch,malibu,310-456-6299,mexican
cafe fes,246 w. 4th st. at charles st.,new york,212/924-7653,mediterranean
belvedere  the,9882 little santa monica blvd.,beverly hills,310-788-2306,pacific new wave
main street,446 columbus ave.  between 81st and 82nd sts.,new york,212/873-5025,american
mayflower cuisinier,4750 w. sahara ave.,las vegas,702-870-8432,chinese
flowers,21 west 17th st.  between 5th and 6th aves.,new york,212/691-8888,american
louise's trattoria,4500 los feliz blvd.,los angeles,213/667-0777,italian
stars cafe,500 van ness ave.,san francisco,415/861-4344,american
the heights,3235 sacramento st.,san francisco,415/474-8890,french
